Reduced vocab size: 32768
Dataset: 875 files, ~7168000 samples
Model params: 109,077,504
  CRS mode: True, alpha: 0.3

=== Starting fresh training ===

Training config: 5000 total steps (will do 5000 more)
  Micro batch: 32 × 256 = 8,192 tokens
  Grad accum: 4
  Effective batch: 128 × 256 = 32,768 tokens
  Checkpoints every 1000 steps → /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/checkpoints/
  Metrics → /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/metrics.jsonl
step     25/5000  loss=136.2666  ppl=485165195.4  grad_norm=227.30  tok/s=3,309  tokens=819,200
Exception ignored in: <function _MultiProcessingDataLoaderIter.__del__ at 0x10b9362a0>
Traceback (most recent call last):
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/site-packages/torch/utils/data/dataloader.py", line 1686, in __del__
    self._shutdown_workers()
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/site-packages/torch/utils/data/dataloader.py", line 1650, in _shutdown_workers
    w.join(timeout=_utils.MP_STATUS_CHECK_INTERVAL)
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/multiprocessing/process.py", line 149, in join
    res = self._popen.wait(timeout)
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/multiprocessing/popen_fork.py", line 41, in wait
    if not wait([self.sentinel], timeout):
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/multiprocessing/connection.py", line 1148, in wait
    ready = selector.select(timeout)
  File "/Users/bytedance/.workbuddy/binaries/python/versions/3.13.12/lib/python3.13/selectors.py", line 398, in select
    fd_event_list = self._selector.poll(timeout)
KeyboardInterrupt: 
Traceback (most recent call last):
  File "/Users/bytedance/kv_cache/fdong_embedding_dim/workbuddy_scripts/small_lm_crs.py", line 713, in <module>
    else:
        ^
  File "/Users/bytedance/kv_cache/fdong_embedding_dim/workbuddy_scripts/small_lm_crs.py", line 583, in train
    loss = loss_raw / args.grad_accum
                    ^^^^^^^^^^^^^^^
KeyboardInterrupt
Reduced vocab size: 32768
Dataset: 875 files, ~7168000 samples
Model params: 109,077,504
  CRS mode: True, alpha: 0.3

=== Starting fresh training ===

Training config: 5000 total steps (will do 5000 more)
  Micro batch: 32 × 256 = 8,192 tokens
  Grad accum: 4
  Effective batch: 128 × 256 = 32,768 tokens
  Checkpoints every 1000 steps → /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/checkpoints/
  Metrics → /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/metrics.jsonl
step     25/5000  loss=7.6118  ppl=2022.0  grad_norm=1.74  tok/s=3,211  tokens=819,200
step     50/5000  loss=6.2736  ppl=530.4  grad_norm=0.83  tok/s=4,039  tokens=1,638,400
step     75/5000  loss=6.0715  ppl=433.3  grad_norm=0.73  tok/s=4,049  tokens=2,457,600
step    100/5000  loss=5.8919  ppl=362.1  grad_norm=0.70  tok/s=4,045  tokens=3,276,800
step    125/5000  loss=5.7704  ppl=320.7  grad_norm=0.79  tok/s=4,034  tokens=4,096,000
step    150/5000  loss=5.7109  ppl=302.1  grad_norm=0.74  tok/s=4,041  tokens=4,915,200
step    175/5000  loss=5.6524  ppl=285.0  grad_norm=0.58  tok/s=4,031  tokens=5,734,400
step    200/5000  loss=5.6224  ppl=276.5  grad_norm=0.61  tok/s=4,039  tokens=6,553,600
step    225/5000  loss=5.5456  ppl=256.1  grad_norm=0.69  tok/s=4,046  tokens=7,372,800
step    250/5000  loss=5.5324  ppl=252.7  grad_norm=0.76  tok/s=4,047  tokens=8,192,000
step    275/5000  loss=5.4654  ppl=236.4  grad_norm=0.61  tok/s=4,044  tokens=9,011,200
step    300/5000  loss=5.4616  ppl=235.5  grad_norm=0.55  tok/s=4,028  tokens=9,830,400
step    325/5000  loss=5.4314  ppl=228.5  grad_norm=0.67  tok/s=4,029  tokens=10,649,600
step    350/5000  loss=5.4371  ppl=229.8  grad_norm=0.57  tok/s=4,023  tokens=11,468,800
step    375/5000  loss=5.3880  ppl=218.8  grad_norm=0.56  tok/s=4,028  tokens=12,288,000
step    400/5000  loss=5.3859  ppl=218.3  grad_norm=0.73  tok/s=4,011  tokens=13,107,200
step    425/5000  loss=5.3231  ppl=205.0  grad_norm=0.56  tok/s=4,017  tokens=13,926,400
step    450/5000  loss=5.3340  ppl=207.3  grad_norm=0.55  tok/s=4,035  tokens=14,745,600
step    475/5000  loss=5.2955  ppl=199.4  grad_norm=0.55  tok/s=4,024  tokens=15,564,800
step    500/5000  loss=5.2693  ppl=194.3  grad_norm=0.49  tok/s=4,034  tokens=16,384,000
step    525/5000  loss=5.2288  ppl=186.6  grad_norm=0.50  tok/s=4,029  tokens=17,203,200
step    550/5000  loss=5.2718  ppl=194.8  grad_norm=0.51  tok/s=4,031  tokens=18,022,400
step    575/5000  loss=5.2250  ppl=185.9  grad_norm=0.57  tok/s=4,030  tokens=18,841,600
step    600/5000  loss=5.2267  ppl=186.2  grad_norm=0.55  tok/s=4,027  tokens=19,660,800
step    625/5000  loss=5.2201  ppl=185.0  grad_norm=0.49  tok/s=4,019  tokens=20,480,000
step    650/5000  loss=5.2108  ppl=183.2  grad_norm=0.73  tok/s=4,014  tokens=21,299,200
step    675/5000  loss=5.2026  ppl=181.8  grad_norm=0.54  tok/s=4,024  tokens=22,118,400
step    700/5000  loss=5.2007  ppl=181.4  grad_norm=0.52  tok/s=4,028  tokens=22,937,600
