step,tokens,loss,model
10,1310720,12.1358,old_baseline_4e_top1
20,2621440,12.0975,old_baseline_4e_top1
30,3932160,12.0076,old_baseline_4e_top1
40,5242880,11.8416,old_baseline_4e_top1
50,6553600,11.5205,old_baseline_4e_top1
60,7864320,11.0694,old_baseline_4e_top1
70,9175040,10.7835,old_baseline_4e_top1
80,10485760,10.5616,old_baseline_4e_top1
90,11796480,10.4767,old_baseline_4e_top1
100,13107200,10.3772,old_baseline_4e_top1
110,14417920,10.3361,old_baseline_4e_top1
120,15728640,10.2077,old_baseline_4e_top1
130,17039360,10.1329,old_baseline_4e_top1
140,18350080,10.024,old_baseline_4e_top1
150,19660800,9.9394,old_baseline_4e_top1
160,20971520,9.8318,old_baseline_4e_top1
170,22282240,9.7438,old_baseline_4e_top1
180,23592960,9.6849,old_baseline_4e_top1
190,24903680,9.5463,old_baseline_4e_top1
200,26214400,9.4212,old_baseline_4e_top1
210,27525120,9.3191,old_baseline_4e_top1
220,28835840,9.2008,old_baseline_4e_top1
230,30146560,9.0216,old_baseline_4e_top1
240,31457280,8.9416,old_baseline_4e_top1
250,32768000,8.8005,old_baseline_4e_top1
260,34078720,8.7153,old_baseline_4e_top1
270,35389440,8.5583,old_baseline_4e_top1
280,36700160,8.4677,old_baseline_4e_top1
290,38010880,8.3048,old_baseline_4e_top1
300,39321600,8.2289,old_baseline_4e_top1
310,40632320,8.0861,old_baseline_4e_top1
320,41943040,8.0184,old_baseline_4e_top1
330,43253760,8.0037,old_baseline_4e_top1
340,44564480,7.8875,old_baseline_4e_top1
350,45875200,7.7855,old_baseline_4e_top1
360,47185920,7.6997,old_baseline_4e_top1
370,48496640,7.6523,old_baseline_4e_top1
380,49807360,7.635,old_baseline_4e_top1
390,51118080,7.5431,old_baseline_4e_top1
400,52428800,7.5122,old_baseline_4e_top1
410,53739520,7.4936,old_baseline_4e_top1
420,55050240,7.3733,old_baseline_4e_top1
430,56360960,7.3568,old_baseline_4e_top1
440,57671680,7.3624,old_baseline_4e_top1
450,58982400,7.308,old_baseline_4e_top1
460,60293120,7.293,old_baseline_4e_top1
470,61603840,7.2528,old_baseline_4e_top1
480,62914560,7.154,old_baseline_4e_top1
490,64225280,7.0967,old_baseline_4e_top1
500,65536000,7.0898,old_baseline_4e_top1
510,66846720,7.0786,old_baseline_4e_top1
520,68157440,7.0501,old_baseline_4e_top1
530,69468160,7.0154,old_baseline_4e_top1
540,70778880,7.0498,old_baseline_4e_top1
550,72089600,7.0237,old_baseline_4e_top1
560,73400320,6.919,old_baseline_4e_top1
570,74711040,6.9376,old_baseline_4e_top1
580,76021760,6.9174,old_baseline_4e_top1
590,77332480,6.9181,old_baseline_4e_top1
