step,loss,tokens,model
10,12.1358,1310720,old_baseline_4e_top1
20,12.0975,2621440,old_baseline_4e_top1
30,12.0076,3932160,old_baseline_4e_top1
40,11.8416,5242880,old_baseline_4e_top1
50,11.5205,6553600,old_baseline_4e_top1
60,11.0694,7864320,old_baseline_4e_top1
70,10.7835,9175040,old_baseline_4e_top1
80,10.5616,10485760,old_baseline_4e_top1
90,10.4767,11796480,old_baseline_4e_top1
100,10.3772,13107200,old_baseline_4e_top1
110,10.3361,14417920,old_baseline_4e_top1
120,10.2077,15728640,old_baseline_4e_top1
130,10.1329,17039360,old_baseline_4e_top1
140,10.024,18350080,old_baseline_4e_top1
150,9.9394,19660800,old_baseline_4e_top1
160,9.8318,20971520,old_baseline_4e_top1
170,9.7438,22282240,old_baseline_4e_top1
180,9.6849,23592960,old_baseline_4e_top1
190,9.5463,24903680,old_baseline_4e_top1
200,9.4212,26214400,old_baseline_4e_top1
210,9.3191,27525120,old_baseline_4e_top1
220,9.2008,28835840,old_baseline_4e_top1
230,9.0216,30146560,old_baseline_4e_top1
240,8.9416,31457280,old_baseline_4e_top1
250,8.8005,32768000,old_baseline_4e_top1
260,8.7153,34078720,old_baseline_4e_top1
270,8.5583,35389440,old_baseline_4e_top1
280,8.4677,36700160,old_baseline_4e_top1
290,8.3048,38010880,old_baseline_4e_top1
300,8.2289,39321600,old_baseline_4e_top1
310,8.0861,40632320,old_baseline_4e_top1
320,8.0184,41943040,old_baseline_4e_top1
330,8.0037,43253760,old_baseline_4e_top1
340,7.8875,44564480,old_baseline_4e_top1
350,7.7855,45875200,old_baseline_4e_top1
360,7.6997,47185920,old_baseline_4e_top1
370,7.6523,48496640,old_baseline_4e_top1
380,7.635,49807360,old_baseline_4e_top1
390,7.5431,51118080,old_baseline_4e_top1
400,7.5122,52428800,old_baseline_4e_top1
410,7.4936,53739520,old_baseline_4e_top1
420,7.3733,55050240,old_baseline_4e_top1
430,7.3568,56360960,old_baseline_4e_top1
440,7.3624,57671680,old_baseline_4e_top1
450,7.308,58982400,old_baseline_4e_top1
460,7.293,60293120,old_baseline_4e_top1
470,7.2528,61603840,old_baseline_4e_top1
480,7.154,62914560,old_baseline_4e_top1
490,7.0967,64225280,old_baseline_4e_top1
500,7.0898,65536000,old_baseline_4e_top1
510,7.0786,66846720,old_baseline_4e_top1
520,7.0501,68157440,old_baseline_4e_top1
530,7.0154,69468160,old_baseline_4e_top1
540,7.0498,70778880,old_baseline_4e_top1
550,7.0237,72089600,old_baseline_4e_top1
560,6.919,73400320,old_baseline_4e_top1
570,6.9376,74711040,old_baseline_4e_top1
580,6.9174,76021760,old_baseline_4e_top1
590,6.9181,77332480,old_baseline_4e_top1
600,6.8257,78643200,old_baseline_4e_top1
610,6.8093,79953920,old_baseline_4e_top1
620,6.8728,81264640,old_baseline_4e_top1
630,6.8783,82575360,old_baseline_4e_top1
640,6.6796,83886080,old_baseline_4e_top1
650,6.8176,85196800,old_baseline_4e_top1
660,6.7399,86507520,old_baseline_4e_top1
670,6.587,87818240,old_baseline_4e_top1
680,6.6256,89128960,old_baseline_4e_top1
690,6.6381,90439680,old_baseline_4e_top1
700,6.6147,91750400,old_baseline_4e_top1
710,6.5513,93061120,old_baseline_4e_top1
720,6.5011,94371840,old_baseline_4e_top1
730,6.4937,95682560,old_baseline_4e_top1
740,6.5268,96993280,old_baseline_4e_top1
750,6.4708,98304000,old_baseline_4e_top1
760,6.4603,99614720,old_baseline_4e_top1
770,6.4508,100925440,old_baseline_4e_top1
780,6.4823,102236160,old_baseline_4e_top1
790,6.3831,103546880,old_baseline_4e_top1
800,6.297,104857600,old_baseline_4e_top1
810,6.2479,106168320,old_baseline_4e_top1
820,6.4196,107479040,old_baseline_4e_top1
830,6.3891,108789760,old_baseline_4e_top1
840,6.3018,110100480,old_baseline_4e_top1
850,6.244,111411200,old_baseline_4e_top1
860,6.4491,112721920,old_baseline_4e_top1
870,6.3266,114032640,old_baseline_4e_top1
880,6.3155,115343360,old_baseline_4e_top1
890,6.1707,116654080,old_baseline_4e_top1
900,6.1734,117964800,old_baseline_4e_top1
910,6.1976,119275520,old_baseline_4e_top1
920,6.2825,120586240,old_baseline_4e_top1
930,6.1843,121896960,old_baseline_4e_top1
940,6.1167,123207680,old_baseline_4e_top1
950,6.1372,124518400,old_baseline_4e_top1
960,6.1529,125829120,old_baseline_4e_top1
970,6.1461,127139840,old_baseline_4e_top1
980,6.16,128450560,old_baseline_4e_top1
990,6.0678,129761280,old_baseline_4e_top1
1000,6.1174,131072000,old_baseline_4e_top1
1010,6.042,132382720,old_baseline_4e_top1
1020,6.0683,133693440,old_baseline_4e_top1
1030,5.9771,135004160,old_baseline_4e_top1
1040,6.0311,136314880,old_baseline_4e_top1
1050,6.0197,137625600,old_baseline_4e_top1
1060,6.0203,138936320,old_baseline_4e_top1
1070,6.0842,140247040,old_baseline_4e_top1
1080,6.0581,141557760,old_baseline_4e_top1
1090,6.0643,142868480,old_baseline_4e_top1
1100,5.9608,144179200,old_baseline_4e_top1
1110,5.9237,145489920,old_baseline_4e_top1
1120,5.8494,146800640,old_baseline_4e_top1
1130,5.9359,148111360,old_baseline_4e_top1
1140,5.846,149422080,old_baseline_4e_top1
1150,5.9141,150732800,old_baseline_4e_top1
1160,5.9744,152043520,old_baseline_4e_top1
1170,5.8601,153354240,old_baseline_4e_top1
1180,5.8576,154664960,old_baseline_4e_top1
1190,5.8797,155975680,old_baseline_4e_top1
1200,5.8212,157286400,old_baseline_4e_top1
1210,5.8242,158597120,old_baseline_4e_top1
1220,5.8201,159907840,old_baseline_4e_top1
1230,5.7473,161218560,old_baseline_4e_top1
1240,5.8157,162529280,old_baseline_4e_top1
1250,5.8622,163840000,old_baseline_4e_top1
1260,5.7205,165150720,old_baseline_4e_top1
1270,5.6596,166461440,old_baseline_4e_top1
1280,5.7111,167772160,old_baseline_4e_top1
1290,5.6924,169082880,old_baseline_4e_top1
1300,5.7715,170393600,old_baseline_4e_top1
1310,5.7082,171704320,old_baseline_4e_top1
1320,5.6684,173015040,old_baseline_4e_top1
1330,5.6212,174325760,old_baseline_4e_top1
1340,5.679,175636480,old_baseline_4e_top1
1350,5.6437,176947200,old_baseline_4e_top1
1360,5.58,178257920,old_baseline_4e_top1
1370,5.6105,179568640,old_baseline_4e_top1
1380,5.6043,180879360,old_baseline_4e_top1
1390,5.6013,182190080,old_baseline_4e_top1
1400,5.6355,183500800,old_baseline_4e_top1
1410,5.574,184811520,old_baseline_4e_top1
1420,5.6039,186122240,old_baseline_4e_top1
1430,5.6448,187432960,old_baseline_4e_top1
1440,5.5863,188743680,old_baseline_4e_top1
1450,5.5669,190054400,old_baseline_4e_top1
1460,5.5609,191365120,old_baseline_4e_top1
1470,5.4786,192675840,old_baseline_4e_top1
1480,5.5712,193986560,old_baseline_4e_top1
1490,5.4657,195297280,old_baseline_4e_top1
1500,5.5966,196608000,old_baseline_4e_top1
1510,5.4748,197918720,old_baseline_4e_top1
1520,5.5064,199229440,old_baseline_4e_top1
1530,5.4762,200540160,old_baseline_4e_top1
1540,5.5111,201850880,old_baseline_4e_top1
1550,5.4132,203161600,old_baseline_4e_top1
1560,5.4351,204472320,old_baseline_4e_top1
1570,5.5209,205783040,old_baseline_4e_top1
1580,5.4195,207093760,old_baseline_4e_top1
1590,5.3267,208404480,old_baseline_4e_top1
