condition,seed,bucket,sense_class,S_sense,S_sense_expert
flat_uniform,20260521,head,A_family_0,0.0,0
flat_uniform,20260521,head,A_family_1,0.0,0
flat_uniform,20260521,head,A_family_2,0.0,0
flat_uniform,20260521,head,A_family_3,0.0,0
flat_uniform,20260521,head,A_family_4,0.0,0
flat_uniform,20260521,head,A_family_5,0.0,0
flat_uniform,20260521,head,A_family_6,0.3375433121497434,1
flat_uniform,20260521,head,A_family_7,0.0,0
flat_uniform,20260521,head,C_family_0,0.0,0
flat_uniform,20260521,head,C_family_1,0.0,0
flat_uniform,20260521,head,C_family_2,0.0,0
flat_uniform,20260521,head,C_family_3,0.31082659668936685,2
flat_uniform,20260521,head,C_family_4,0.0,0
flat_uniform,20260521,head,C_family_5,0.0,0
flat_uniform,20260521,head,C_family_6,0.0,0
flat_uniform,20260521,head,C_family_7,0.0,0
flat_uniform,20260521,head,r_family_0,0.0,0
flat_uniform,20260521,head,r_family_1,0.0,0
flat_uniform,20260521,head,r_family_2,0.0,0
flat_uniform,20260521,head,r_family_3,0.0,0
flat_uniform,20260521,head,r_family_4,0.0,0
flat_uniform,20260521,head,r_family_5,0.32518359113722295,3
flat_uniform,20260521,head,r_family_6,0.0,0
flat_uniform,20260521,head,r_family_7,0.0,0
flat_uniform,20260521,middle,A_family_0,0.0,0
flat_uniform,20260521,middle,A_family_1,0.0,0
flat_uniform,20260521,middle,A_family_2,0.0,0
flat_uniform,20260521,middle,A_family_3,0.0,0
flat_uniform,20260521,middle,A_family_4,0.0,0
flat_uniform,20260521,middle,A_family_5,0.0,0
flat_uniform,20260521,middle,A_family_6,0.38493748182190746,1
flat_uniform,20260521,middle,A_family_7,0.0,0
flat_uniform,20260521,middle,C_family_0,0.0,0
flat_uniform,20260521,middle,C_family_1,0.0,0
flat_uniform,20260521,middle,C_family_2,0.0,0
flat_uniform,20260521,middle,C_family_3,0.4188287570841566,2
flat_uniform,20260521,middle,C_family_4,0.0,0
flat_uniform,20260521,middle,C_family_5,0.0,0
flat_uniform,20260521,middle,C_family_6,0.0,0
flat_uniform,20260521,middle,C_family_7,0.0,0
flat_uniform,20260521,middle,r_family_0,0.0,0
flat_uniform,20260521,middle,r_family_1,0.0,0
flat_uniform,20260521,middle,r_family_2,0.0,0
flat_uniform,20260521,middle,r_family_3,0.0,0
flat_uniform,20260521,middle,r_family_4,0.0,0
flat_uniform,20260521,middle,r_family_5,0.7626554416237923,3
flat_uniform,20260521,middle,r_family_6,0.0,0
flat_uniform,20260521,middle,r_family_7,0.0,0
flat_uniform,20260521,tail,A_family_0,0.0,0
flat_uniform,20260521,tail,A_family_1,0.0,0
flat_uniform,20260521,tail,A_family_2,0.0,0
flat_uniform,20260521,tail,A_family_3,0.0,0
flat_uniform,20260521,tail,A_family_4,0.0,0
flat_uniform,20260521,tail,A_family_5,0.0,0
flat_uniform,20260521,tail,A_family_6,0.5827323064295341,1
flat_uniform,20260521,tail,A_family_7,0.0,0
flat_uniform,20260521,tail,C_family_0,0.0,0
flat_uniform,20260521,tail,C_family_1,0.0,0
flat_uniform,20260521,tail,C_family_2,0.0,0
flat_uniform,20260521,tail,C_family_3,0.3020949699706155,2
flat_uniform,20260521,tail,C_family_4,0.0,0
flat_uniform,20260521,tail,C_family_5,0.0,0
flat_uniform,20260521,tail,C_family_6,0.0,0
flat_uniform,20260521,tail,C_family_7,0.0,0
flat_uniform,20260521,tail,r_family_0,0.0,0
flat_uniform,20260521,tail,r_family_1,0.0,0
flat_uniform,20260521,tail,r_family_2,0.0,0
flat_uniform,20260521,tail,r_family_3,0.0,0
flat_uniform,20260521,tail,r_family_4,0.0,0
flat_uniform,20260521,tail,r_family_5,1.0898664475280386,3
flat_uniform,20260521,tail,r_family_6,0.0,0
flat_uniform,20260521,tail,r_family_7,0.0,0
flat_uniform,20260522,head,A_family_0,0.0,1
flat_uniform,20260522,head,A_family_1,0.0,1
flat_uniform,20260522,head,A_family_2,0.0,1
flat_uniform,20260522,head,A_family_3,0.0,1
flat_uniform,20260522,head,A_family_4,0.22725199230505194,0
flat_uniform,20260522,head,A_family_5,0.0,1
flat_uniform,20260522,head,A_family_6,0.0,1
flat_uniform,20260522,head,A_family_7,0.29743955424661805,3
flat_uniform,20260522,head,C_family_0,0.0,1
flat_uniform,20260522,head,C_family_1,0.0,1
flat_uniform,20260522,head,C_family_2,0.0,1
flat_uniform,20260522,head,C_family_3,0.0,1
