patch_kind,layer,critical_qk,gold_probability,gold_vs_fixed_competitor_margin,gold_vs_strongest_margin,top_token_id,top_token_label,strongest_competitor_token_id,strongest_competitor_token_label,qk_recovery_fraction,fixed_margin_recovery_fraction
residual_in,0,10.0008625289,0.0174546847,-2.75,-2.75,4710,␠↵↵,4710,␠↵↵,0.0,0.0
residual_in,1,10.2738545192,0.0267780058,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,0.052552905,0.1
residual_in,2,10.2438627731,0.023543328,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.04677928,0.0666666667
residual_in,3,10.3456942611,0.0264150969,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,0.0663825677,0.1
residual_in,4,10.3316006942,0.0214635282,-2.625,-2.625,4710,␠↵↵,4710,␠↵↵,0.0636694556,0.0333333333
residual_in,5,10.0317472783,0.0189106329,-2.75,-2.75,4710,␠↵↵,4710,␠↵↵,0.0059455345,0.0
residual_in,6,10.0368517895,0.0240340228,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.0069281893,0.0666666667
residual_in,7,10.2603070804,0.0220013316,-2.625,-2.625,4710,␠↵↵,4710,␠↵↵,0.0499449265,0.0333333333
residual_in,8,10.599382338,0.0229367057,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.1152193317,0.0666666667
residual_in,9,10.4359368506,0.0241757216,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.0837549098,0.0666666667
residual_in,10,10.7502635849,0.0272507432,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,0.1442650478,0.1
residual_in,11,11.2103520839,0.0326196596,-2.125,-2.125,4710,␠↵↵,4710,␠↵↵,0.2328353651,0.1666666667
residual_in,12,13.0264817612,0.1233899863,-0.625,-0.625,4710,␠↵↵,4710,␠↵↵,0.5824532802,0.5666666667
residual_in,13,12.8475518819,0.1152420217,-0.75,-0.75,4710,␠↵↵,4710,␠↵↵,0.5480080023,0.5333333333
residual_in,14,13.5232151151,0.1879912207,-0.125,-0.125,4710,␠↵↵,4710,␠↵↵,0.6780779934,0.7
residual_in,15,13.588079764,0.1898154282,-0.125,-0.125,4710,␠↵↵,4710,␠↵↵,0.6905649009,0.7
residual_in,16,14.4166960574,0.3426594374,0.625,0.625,11627,␠nine,4710,␠↵↵,0.8500794469,0.9
residual_in,17,14.2718274532,0.3294525464,0.5,0.5,11627,␠nine,4710,␠↵↵,0.8221912074,0.8666666667
residual_in,18,14.2668291133,0.3166211882,0.5,0.5,11627,␠nine,4710,␠↵↵,0.8212289913,0.8666666667
