target_context_tokens,relative_distance,mean_band_qk,min_band_qk,max_band_qk,band,pair_start,pair_end
8192,7996,-0.40231932209375,-10.2005220698,2.281583311,pairs 0–15 (highest frequency),0,15
16384,16188,-0.23118573212812502,-5.4473430989,4.5121209844,pairs 0–15 (highest frequency),0,15
32768,32572,0.42187737990625,-1.6016122140999998,4.7825107279,pairs 0–15 (highest frequency),0,15
65536,65340,0.597948457415625,-2.3534978535,12.1664227607,pairs 0–15 (highest frequency),0,15
8192,7996,1.597245520415625,-2.1530773491999997,8.5235489606,pairs 16–31,16,31
16384,16188,-0.30370560860937496,-3.7341819055,2.4195185355,pairs 16–31,16,31
32768,32572,2.567998380875,-1.8850712329,8.403475943899998,pairs 16–31,16,31
65536,65340,2.2305141601000003,-2.3312560534999998,8.0887440833,pairs 16–31,16,31
8192,7996,-2.7961107429375,-8.0569849187,0.439871175,pairs 32–47,32,47
16384,16188,4.232303896825,-0.4239238930999999,11.186396671199999,pairs 32–47,32,47
32768,32572,1.084463521296875,-0.18733303790000005,3.3205340427000003,pairs 32–47,32,47
65536,65340,-2.616950159065625,-7.3331450818,0.34962038239999993,pairs 32–47,32,47
8192,7996,-3.986403734525,-8.309549952100001,1.5034267134,pairs 48–63 (lowest frequency),48,63
16384,16188,-8.55509035666875,-16.4021487478,0.7055479126000003,pairs 48–63 (lowest frequency),48,63
32768,32572,-17.493331808009376,-32.2238997611,-0.5576426630000002,pairs 48–63 (lowest frequency),48,63
65536,65340,-33.7970569538125,-61.3027611699,-1.6775791535999998,pairs 48–63 (lowest frequency),48,63
