layer,delta_input_l2,delta_attention_l2,delta_mlp_l2,delta_output_l2,component_norm_sum,real_vector_sum_l2,component_alignment_ratio,pairwise_inner_product_sum,real_identity_max_abs_error,real_identity_relative_l2_error,bf16_post_reconstruction_max_abs_error,bf16_output_reconstruction_max_abs_error,bf16_reconstructed_output_l2,source_interlayer_link_max_abs_error,target_interlayer_link_max_abs_error
0,0.0,0.5420961976,1.2932972908,1.4658498764,1.8353934884,1.4643243551,0.7978258419,0.0888799727,0.0234375,0.0238016959,0.0,0.0,1.4658498764,0.0,0.0
1,1.4658498764,0.655847609,0.5295898318,1.6665065289,2.6512873173,1.6662517786,0.6284689584,-0.0414605588,0.015625,0.0196089616,0.0,0.0,1.6665065289,0.0,0.0
2,1.6665065289,0.6881281137,0.6116805077,1.8222427368,2.9663151503,1.820153594,0.6136076249,-0.1559786499,0.01953125,0.0210070371,0.0,0.0,1.8222427368,0.0,0.0
3,1.8222427368,0.7176184654,0.658896625,2.0299403667,3.1987578273,2.0298960209,0.6345888406,-0.0746050626,0.0129394531,0.022390403,0.0,0.0,2.0299403667,0.0,0.0
4,2.0299403667,1.4395418167,1.1490092278,2.5885136127,4.6184914112,2.5891270638,0.5606001686,-0.404790163,0.1015625,0.0454043075,0.0,0.0,2.5885136127,0.0,0.0
5,2.5885136127,1.51895082,1.5086333752,3.0318615437,5.6160978079,3.0331542492,0.5400821626,-1.0417802334,0.0390625,0.0286766996,0.0,0.0,3.0318615437,0.0,0.0
6,3.0318615437,1.5605586767,2.5524258614,3.8294503689,7.1448460817,3.823795557,0.5351823557,-1.7604931593,0.033203125,0.0254053013,0.0,0.0,3.8294503689,0.0,0.0
7,3.8294503689,1.4845569134,3.0308806896,4.6152067184,8.3448879719,4.6207289696,0.5537197126,-2.3518464565,0.0625,0.0295990899,0.0,0.0,4.6152067184,0.0,0.0
8,4.6152067184,1.5483442545,3.2047512531,5.1057362556,9.3683022261,5.1020731926,0.544610226,-3.9683899879,0.109375,0.0362832104,0.0,0.0,5.1057362556,0.0,0.0
9,5.1057362556,2.4191040993,3.8045053482,5.2297635078,11.3293457031,5.2320246696,0.4618117239,-9.5103931427,0.0859375,0.0348661881,0.0,0.0,5.2297635078,0.0,0.0
10,5.2297635078,3.1935350895,4.3964729309,5.4537792206,12.8197715282,5.459420681,0.4258594367,-13.5363969803,0.1484375,0.0385161839,0.0,0.0,5.4537792206,0.0,0.0
11,5.4537792206,2.5556917191,4.3503694534,5.9688763618,12.3598403931,5.9642920494,0.4825541317,-9.8140964508,0.1875,0.0400874204,0.0,0.0,5.9688763618,0.0,0.0
12,5.9688763618,3.1792938709,4.2632565498,6.4070978165,13.4114267826,6.4092946053,0.4778980424,-11.4158439636,0.193359375,0.0399750769,0.0,0.0,6.4070978165,0.0,0.0
13,6.4070978165,1.691824317,4.2673187256,6.4612050056,12.366240859,6.4444141388,0.5211295989,-10.2963476181,0.1328125,0.0337771485,0.0,0.0,6.4612050056,0.0,0.0
14,6.4612050056,2.8958146572,4.3512306213,6.8228144646,13.7082502842,6.8243865967,0.4978306097,-11.246925354,0.130859375,0.0342595508,0.0,0.0,6.8228144646,0.0,0.0
15,6.8228144646,2.8676226139,4.9882106781,7.6052856445,14.6786477566,7.605287075,0.518119053,-10.9079437256,0.15625,0.031755486,0.0,0.0,7.6052856445,0.0,0.0
16,7.6052856445,3.7362239361,5.1985726357,8.2759838104,16.5400822163,8.2327718735,0.4977467322,-15.5231761932,0.44921875,0.059495462,0.0,0.0,8.2759838104,0.0,0.0
17,8.2759838104,4.0040001869,5.4604330063,9.0837650299,17.7404170036,9.0705509186,0.5112929937,-16.0326766968,0.1782226562,0.0310292294,0.0,0.0,9.0837650299,0.0,0.0
18,9.0837650299,3.8123919964,5.6216268539,9.8997249603,18.5177838802,9.8910884857,0.5341399678,-15.4090824127,0.109375,0.0276055534,0.0,0.0,9.8997249603,0.0,0.0
19,9.8997249603,5.243847847,6.4979863167,11.5735368729,21.641559124,11.5718870163,0.5347067164,-16.9088630676,0.1484375,0.0252951732,0.0,0.0,11.5735368729,0.0,0.0
20,11.5735368729,8.6417598724,10.1026687622,15.976140976,30.3179655075,15.9640512466,0.5265541727,-27.9198226929,0.1081695557,0.0210247261,0.0,0.0,15.976140976,0.0,0.0
21,15.976140976,11.3786678314,14.0701379776,23.1281929016,41.424946785,23.1167945862,0.5580404172,-24.146900177,0.09375,0.0148479942,0.0,0.0,23.1281929016,0.0,0.0
22,23.1281929016,20.6119346619,22.0127716064,35.1062889099,65.7528991699,35.1123962402,0.5340052938,-105.7233963013,0.21875,0.0119986553,0.0,0.0,35.1062889099,0.0,0.0
23,35.1062889099,21.17070961,26.278635025,47.462348938,82.5556335449,47.4683189392,0.5749858235,-58.988155365,0.1875,0.0109166369,0.0,0.0,47.462348938,0.0,0.0
24,47.462348938,25.2751159668,26.3952960968,59.1581382751,99.1327610016,59.1563148499,0.5967382957,-44.3745727539,0.5625,0.0134260544,0.0,0.0,59.1581382751,0.0,0.0
25,59.1581382751,16.2527427673,28.2607936859,64.3660202026,103.6716747284,64.3313598633,0.6205297641,-211.9942932129,0.6875,0.0150540268,0.0,0.0,64.3660202026,0.0,0.0
26,64.3660202026,26.2001838684,31.0102519989,76.600982666,121.5764560699,76.5608139038,0.6297338842,35.2423706055,0.59375,0.0122619009,0.0,0.0,76.600982666,0.0,0.0
27,76.600982666,16.4745502472,34.5559844971,87.9392471313,127.6315174103,87.9145202637,0.6888151301,197.8604278564,0.107421875,0.0088513791,0.0,0.0,87.9392471313,0.0,0.0
28,87.9392471313,27.6500682831,42.2168006897,102.6044540405,157.8061161041,102.4424133301,0.6491663052,107.1750869751,1.75,0.019481834,0.0,0.0,102.6044540405,0.0,0.0
