benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,32,0.78125,0.09126464727365427,0.7918399418298449,9763.46875,1.0,7.207424251420889,1.0
__overall__,__overall__,recent_plus_retrieval_raw_k2,32,0.875,0.10055339164817939,0.8840348248242985,3222.125,0.3300184680777516,5.1001780571677955,1.4131711031718917
__overall__,__overall__,recent_plus_span_top3_b0_a0,32,0.84375,0.0986833707607255,0.8527656280434011,2836.125,0.29048333872118964,4.987662490209914,1.4450505152600157
__overall__,__overall__,router,32,0.8125,0.09524436361807069,0.8206350904088751,2558.5625,0.2620546616692966,4.892479321802966,1.4731639680726998
__overall__,__overall__,router_safe,32,0.84375,0.09831457628500154,0.8518850904088751,2683.40625,0.274841484999888,4.9741514469642425,1.4489756349939098
longbench,2wikimqa,full_raw,1,0,0.0,0.0,7346,1.0,6.402984329964966,1.0
longbench,2wikimqa,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,3730,0.5077593248026137,4.838324918877333,1.3233886597782873
longbench,2wikimqa,recent_plus_span_top3_b0_a0,1,1,0.11764705882352941,1.0,3281,0.4466376259188674,4.669623252004385,1.371199341877646
longbench,2wikimqa,router,1,1,0.11764705882352941,1.0,2618,0.35638442689899263,4.460500810295343,1.4354855210845718
longbench,2wikimqa,router_safe,1,1,0.11764705882352941,1.0,2618,0.35638442689899263,4.507975868880749,1.4203679248076175
longbench,gov_report,full_raw,1,0,0.1777059773828756,0.1777059773828756,11019,1.0,13.013490017969161,1.0
longbench,gov_report,recent_plus_retrieval_raw_k2,1,0,0.14992025518341306,0.14992025518341306,3236,0.2936745621199746,10.237171473912895,1.2711997694999135
longbench,gov_report,recent_plus_span_top3_b0_a0,1,0,0.1324717285945073,0.1324717285945073,1564,0.14193665486886287,9.677872335072607,1.3446643608645545
longbench,gov_report,router,1,0,0.11272141706924314,0.11272141706924314,1871,0.16979762228877393,9.826780832372606,1.3242882119746175
longbench,gov_report,router_safe,1,0,0.11272141706924314,0.11272141706924314,1871,0.16979762228877393,10.32305303402245,1.2606241559623532
longbench,hotpotqa,full_raw,1,1,0.20689655172413793,1.0,11725,1.0,9.65722384210676,1.0
longbench,hotpotqa,recent_plus_retrieval_raw_k2,1,1,0.16666666666666669,1.0,3892,0.3319402985074627,6.0662722159177065,1.5919535916582361
longbench,hotpotqa,recent_plus_span_top3_b0_a0,1,1,0.19354838709677416,1.0,3654,0.31164179104477613,5.962520041037351,1.619654739211008
longbench,hotpotqa,router,1,1,0.19354838709677416,1.0,2622,0.22362473347547973,5.639421916101128,1.7124492520296088
longbench,hotpotqa,router_safe,1,1,0.19354838709677416,1.0,2622,0.22362473347547973,5.650142025202513,1.7092001933810903
longbench,multi_news,full_raw,1,0,0.16117216117216118,0.16117216117216118,2671,1.0,10.05214091995731,1.0
longbench,multi_news,recent_plus_retrieval_raw_k2,1,0,0.1391941391941392,0.1391941391941392,2988,1.1186821415200299,10.131651206873357,0.9921522873919991
longbench,multi_news,recent_plus_span_top3_b0_a0,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.68750796513632,1.0376394998727476
longbench,multi_news,router,1,0,0.14760147601476012,0.14760147601476012,809,0.3028828154249345,9.44143217196688,1.0646839099055037
longbench,multi_news,router_safe,1,0,0.14760147601476012,0.14760147601476012,809,0.3028828154249345,9.443444842938334,1.0644569949994624
longbench,musique,full_raw,1,0,0.0,0.0,16441,1.0,9.740959390997887,1.0
longbench,musique,recent_plus_retrieval_raw_k2,1,1,0.15384615384615385,1.0,3702,0.22516878535368895,4.796978298109025,2.030644873844392
longbench,musique,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,3652,0.22212760780974394,4.81624107202515,2.0225232178633394
longbench,musique,router,1,0,0.0,0.0,2621,0.15941852685359773,4.464618775993586,2.1818121276950615
longbench,musique,router_safe,1,0,0.0,0.0,2621,0.15941852685359773,4.468282877933234,2.1800229880484836
longbench,passage_count,full_raw,1,0,0.0,0.0,16259,1.0,9.72436423227191,1.0
longbench,passage_count,recent_plus_retrieval_raw_k2,1,0,0.0,0.0,3520,0.21649547942677902,4.772705467417836,2.0374951479109513
longbench,passage_count,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,1572,0.09668491297127745,4.162841841112822,2.335991758378302
longbench,passage_count,router,1,0,0.0,0.0,1572,0.09668491297127745,4.140517499763519,2.3485866761406773
longbench,passage_count,router_safe,1,0,0.0,0.0,1572,0.09668491297127745,4.145029818173498,2.3460299826158884
longbench,passage_retrieval_en,full_raw,1,1,0.1111111111111111,1.0,11398,1.0,7.626805518288165,1.0
longbench,passage_retrieval_en,recent_plus_retrieval_raw_k2,1,1,0.17391304347826084,1.0,3622,0.31777504825407965,4.80679611582309,1.5866713158858812
longbench,passage_retrieval_en,recent_plus_span_top3_b0_a0,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.801849279087037,1.5883058952942042
longbench,passage_retrieval_en,router,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.809057276695967,1.5859252821226772
longbench,passage_retrieval_en,router_safe,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.806719154119492,1.586696720517108
longbench,qasper,full_raw,1,0,0.18867924528301885,0.0,3945,1.0,4.9924935582093894,1.0
longbench,qasper,recent_plus_retrieval_raw_k2,1,0,0.1923076923076923,0.0,3205,0.8124207858048162,4.67566798068583,1.067760495148992
longbench,qasper,recent_plus_span_top3_b0_a0,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.80893719336018,1.0381698403345028
longbench,qasper,router,1,0,0.14814814814814817,0.0,993,0.25171102661596956,4.0053339740261436,1.246461241580551
longbench,qasper,router_safe,1,0,0.1923076923076923,0.0,3205,0.8124207858048162,5.411668825894594,0.9225423282224016
ruler_16384,cwe,full_raw,1,0,0.0,0.0,22384,1.0,0.0,0.0
ruler_16384,cwe,recent_plus_retrieval_raw_k2,1,1,0.08333333333333333,1.0,4061,0.1814242315939957,4.95218267897144,0.0
ruler_16384,cwe,recent_plus_span_top3_b0_a0,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.476948979776353,0.0
ruler_16384,cwe,router,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.49103200994432,0.0
ruler_16384,cwe,router_safe,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.479796335101128,0.0
ruler_16384,fwe,full_raw,1,1,0.06451612903225806,1.0,15958,1.0,9.626518084201962,1.0
ruler_16384,fwe,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,2440,0.15290136608597568,4.429198609665036,2.173422086604055
ruler_16384,fwe,recent_plus_span_top3_b0_a0,1,1,0.125,1.0,1581,0.09907256548439654,4.138677124865353,2.3259891491330453
ruler_16384,fwe,router,1,1,0.125,1.0,1581,0.09907256548439654,4.137761323712766,2.3265039549367232
ruler_16384,fwe,router_safe,1,1,0.125,1.0,1581,0.09907256548439654,4.137090303935111,2.3268813047289365
ruler_16384,niah_multikey_1,full_raw,1,1,0.05,1.0,16009,1.0,9.751083580777049,1.0
ruler_16384,niah_multikey_1,recent_plus_retrieval_raw_k2,1,1,0.052631578947368425,1.0,3186,0.1990130551564745,4.765917463693768,2.046003451603962
ruler_16384,niah_multikey_1,recent_plus_span_top3_b0_a0,1,1,0.05,1.0,3647,0.22780935723655443,5.000669630244374,1.9499555663109323
ruler_16384,niah_multikey_1,router,1,1,0.05,1.0,3647,0.22780935723655443,4.95409977203235,1.968285668331787
ruler_16384,niah_multikey_1,router_safe,1,1,0.05,1.0,3647,0.22780935723655443,4.935974827967584,1.975513231049461
ruler_16384,niah_multiquery,full_raw,1,1,0.16666666666666669,1.0,16032,1.0,9.849336481187493,1.0
ruler_16384,niah_multiquery,recent_plus_retrieval_raw_k2,1,1,0.15384615384615385,1.0,3210,0.2002245508982036,4.808396745938808,2.0483618556447705
ruler_16384,niah_multiquery,recent_plus_span_top3_b0_a0,1,1,0.16666666666666669,1.0,3674,0.22916666666666666,4.927761301863939,1.9987446383537197
ruler_16384,niah_multiquery,router,1,1,0.16666666666666669,1.0,3674,0.22916666666666666,4.943789655342698,1.9922644707473396
ruler_16384,niah_multiquery,router_safe,1,1,0.16666666666666669,1.0,3674,0.22916666666666666,4.930871091317385,1.9974840750817593
ruler_16384,niah_multivalue,full_raw,1,1,0.16666666666666669,1.0,16009,1.0,9.759390579070896,1.0
ruler_16384,niah_multivalue,recent_plus_retrieval_raw_k2,1,1,0.08695652173913045,1.0,3177,0.19845087138484602,4.78346670884639,2.040233824774445
ruler_16384,niah_multivalue,recent_plus_span_top3_b0_a0,1,1,0.16666666666666669,1.0,3648,0.2278718221000687,4.947044169064611,1.972772072685214
ruler_16384,niah_multivalue,router,1,1,0.16666666666666669,1.0,3648,0.2278718221000687,4.9482114762067795,1.9723066861629548
ruler_16384,niah_multivalue,router_safe,1,1,0.16666666666666669,1.0,3648,0.2278718221000687,4.956776453182101,1.968898672605189
ruler_16384,niah_single_1,full_raw,1,1,0.05555555555555556,1.0,15678,1.0,9.480825388804078,1.0
ruler_16384,niah_single_1,recent_plus_retrieval_raw_k2,1,1,0.05555555555555556,1.0,3862,0.2463324403622911,5.030080019962043,1.8848259572768429
ruler_16384,niah_single_1,recent_plus_span_top3_b0_a0,1,1,0.05714285714285715,1.0,2612,0.16660288302079346,4.6059269439429045,2.0583968230916003
ruler_16384,niah_single_1,router,1,1,0.05714285714285715,1.0,2612,0.16660288302079346,4.59398591471836,2.063747160919476
ruler_16384,niah_single_1,router_safe,1,1,0.05714285714285715,1.0,2612,0.16660288302079346,4.596208506729454,2.062749193149724
ruler_16384,niah_single_2,full_raw,1,1,0.05405405405405406,1.0,15939,1.0,9.772942018695176,1.0
ruler_16384,niah_single_2,recent_plus_retrieval_raw_k2,1,1,0.05128205128205127,1.0,3118,0.19562080431645648,4.8032340509817,2.034658714308904
ruler_16384,niah_single_2,recent_plus_span_top3_b0_a0,1,1,0.05128205128205127,1.0,3645,0.22868435911914173,4.932396824005991,1.9813778913996205
ruler_16384,niah_single_2,router,1,1,0.05128205128205127,1.0,3645,0.22868435911914173,5.014865695964545,1.9487943668280983
ruler_16384,niah_single_2,router_safe,1,1,0.05128205128205127,1.0,3645,0.22868435911914173,5.020657524000853,1.946546238610462
ruler_16384,vt,full_raw,1,1,0.0625,1.0,16333,1.0,9.874599398113787,1.0
ruler_16384,vt,recent_plus_retrieval_raw_k2,1,1,0.05882352941176471,1.0,3283,0.20100410212453315,4.708061577286571,2.0973811060060266
ruler_16384,vt,recent_plus_span_top3_b0_a0,1,1,0.05882352941176471,1.0,2638,0.16151350027551584,4.488305908162147,2.20007272235087
ruler_16384,vt,router,1,1,0.0689655172413793,1.0,2182,0.1335945631543501,4.472886030096561,2.20765727802383
ruler_16384,vt,router_safe,1,1,0.05882352941176471,1.0,2638,0.16151350027551584,4.514460071921349,2.1873267768012776
ruler_4096,cwe,full_raw,1,1,0.07999999999999999,1.0,5158,1.0,5.391793683171272,1.0
ruler_4096,cwe,recent_plus_retrieval_raw_k2,1,1,0.08695652173913045,1.0,3816,0.7398216362931369,4.841578389983624,1.113643784912364
ruler_4096,cwe,recent_plus_span_top3_b0_a0,1,1,0.08333333333333333,1.0,2613,0.5065917022101589,4.47596023324877,1.2046116145356738
ruler_4096,cwe,router,1,1,0.08333333333333333,1.0,2613,0.5065917022101589,4.476086604874581,1.2045776052008157
ruler_4096,cwe,router_safe,1,1,0.08333333333333333,1.0,2613,0.5065917022101589,4.48191961273551,1.203009904026464
ruler_4096,fwe,full_raw,1,1,0.05405405405405406,1.0,3878,1.0,4.916358597110957,1.0
ruler_4096,fwe,recent_plus_retrieval_raw_k2,1,1,0.1,1.0,1990,0.5131511088189789,4.263599277939647,1.1531005323480472
ruler_4096,fwe,recent_plus_span_top3_b0_a0,1,1,0.10526315789473684,1.0,1582,0.40794223826714804,4.146143767982721,1.185766551337649
ruler_4096,fwe,router,1,1,0.10526315789473684,1.0,1582,0.40794223826714804,4.145273920148611,1.1860153736076149
ruler_4096,fwe,router_safe,1,1,0.10526315789473684,1.0,1582,0.40794223826714804,4.146930373739451,1.1855416305621937
ruler_4096,niah_multikey_1,full_raw,1,1,0.05128205128205127,1.0,3839,1.0,4.873937064316124,1.0
ruler_4096,niah_multikey_1,recent_plus_retrieval_raw_k2,1,1,0.05128205128205127,1.0,3094,0.8059390466267257,4.63321233401075,1.0519563346014384
ruler_4096,niah_multikey_1,recent_plus_span_top3_b0_a0,1,1,0.05128205128205127,1.0,2845,0.7410784058348528,4.528018655721098,1.076395093504741
ruler_4096,niah_multikey_1,router,1,1,0.07142857142857142,1.0,2615,0.6811669705652513,4.488156752195209,1.085955177909556
ruler_4096,niah_multikey_1,router_safe,1,1,0.07142857142857142,1.0,2615,0.6811669705652513,4.477380808908492,1.088568802237821
ruler_4096,niah_multiquery,full_raw,1,1,0.19999999999999998,1.0,3866,1.0,4.918695844709873,1.0
ruler_4096,niah_multiquery,recent_plus_retrieval_raw_k2,1,1,0.19999999999999998,1.0,3133,0.8103983445421624,4.632982893846929,1.0616693299779716
ruler_4096,niah_multiquery,recent_plus_span_top3_b0_a0,1,1,0.13333333333333333,1.0,2642,0.6833936885669943,4.484949255827814,1.0967115934073148
ruler_4096,niah_multiquery,router,1,1,0.13333333333333333,1.0,2642,0.6833936885669943,4.477370614185929,1.098567947251377
ruler_4096,niah_multiquery,router_safe,1,1,0.13333333333333333,1.0,2642,0.6833936885669943,4.4914981089532375,1.0951125271332232
ruler_4096,niah_multivalue,full_raw,1,1,0.16666666666666669,1.0,3837,1.0,4.874821229837835,1.0
ruler_4096,niah_multivalue,recent_plus_retrieval_raw_k2,1,1,0.16666666666666669,1.0,3091,0.8055772739119104,4.629287081304938,1.053039300484187
ruler_4096,niah_multivalue,recent_plus_span_top3_b0_a0,1,1,0.16666666666666669,1.0,2613,0.6810007818608288,4.481526002753526,1.0877592201501591
ruler_4096,niah_multivalue,router,1,1,0.16666666666666669,1.0,2613,0.6810007818608288,4.480688476935029,1.0879625430180337
ruler_4096,niah_multivalue,router_safe,1,1,0.16666666666666669,1.0,2613,0.6810007818608288,4.4833405571989715,1.0873189684442455
ruler_4096,niah_single_1,full_raw,1,1,0.05555555555555556,1.0,3675,1.0,4.800279994960874,1.0
ruler_4096,niah_single_1,recent_plus_retrieval_raw_k2,1,1,0.06451612903225806,1.0,2858,0.7776870748299319,4.5329607292078435,1.058972332151606
ruler_4096,niah_single_1,recent_plus_span_top3_b0_a0,1,1,0.05714285714285715,1.0,2611,0.7104761904761905,4.480328630190343,1.0714124768916646
ruler_4096,niah_single_1,router,1,1,0.05714285714285715,1.0,2611,0.7104761904761905,4.482714418787509,1.070842250142551
ruler_4096,niah_single_1,router_safe,1,1,0.05714285714285715,1.0,2611,0.7104761904761905,4.488709277007729,1.0694120957106952
ruler_4096,niah_single_2,full_raw,1,1,0.05405405405405406,1.0,3779,1.0,4.859452176839113,1.0
ruler_4096,niah_single_2,recent_plus_retrieval_raw_k2,1,1,0.05,1.0,3037,0.803651759724795,4.605728117749095,1.055088805201558
ruler_4096,niah_single_2,recent_plus_span_top3_b0_a0,1,1,0.05,1.0,3649,0.9655993649113522,4.816373890731484,1.008944132470805
ruler_4096,niah_single_2,router,1,1,0.05,1.0,3649,0.9655993649113522,4.819822799880058,1.0082221647152758
ruler_4096,niah_single_2,router_safe,1,1,0.05,1.0,3649,0.9655993649113522,4.820960400160402,1.007984254896064
ruler_4096,vt,full_raw,1,1,0.0625,1.0,3855,1.0,4.914328968152404,1.0
ruler_4096,vt,recent_plus_retrieval_raw_k2,1,1,0.07692307692307693,1.0,2960,0.767833981841764,4.731561945751309,1.038627206934321
ruler_4096,vt,recent_plus_span_top3_b0_a0,1,1,0.07142857142857142,1.0,2637,0.6840466926070039,5.0838164067827165,0.9666613769914691
ruler_4096,vt,router,1,1,0.07142857142857142,1.0,2637,0.6840466926070039,4.511723282281309,1.0892354563171527
ruler_4096,vt,router_safe,1,1,0.07142857142857142,1.0,2637,0.6840466926070039,4.555826629977673,1.0786909527715034
ruler_8192,cwe,full_raw,1,1,0.0909090909090909,1.0,10965,1.0,7.560648792888969,1.0
ruler_8192,cwe,recent_plus_retrieval_raw_k2,1,1,0.08695652173913045,1.0,3696,0.33707250341997264,4.920870288275182,1.5364454557771035
ruler_8192,cwe,recent_plus_span_top3_b0_a0,1,1,0.08695652173913045,1.0,3646,0.3325125398996808,4.928797655273229,1.533974271554843
ruler_8192,cwe,router,1,1,0.08333333333333333,1.0,2614,0.23839489284085727,4.591325444635004,1.64672465153252
ruler_8192,cwe,router_safe,1,1,0.08695652173913045,1.0,3646,0.3325125398996808,4.92395607335493,1.535482583567715
ruler_8192,fwe,full_raw,1,1,0.06451612903225806,1.0,7921,1.0,6.415500531904399,1.0
ruler_8192,fwe,recent_plus_retrieval_raw_k2,1,1,0.10526315789473684,1.0,2386,0.3012245928544376,4.499919401016086,1.4256923202792862
ruler_8192,fwe,recent_plus_span_top3_b0_a0,1,1,0.125,1.0,1582,0.1997222572907461,4.187571344897151,1.5320337263560027
ruler_8192,fwe,router,1,1,0.125,1.0,1582,0.1997222572907461,4.256333597004414,1.5072832957500315
ruler_8192,fwe,router_safe,1,1,0.125,1.0,1582,0.1997222572907461,4.25182301690802,1.5088823091629608
ruler_8192,niah_multikey_1,full_raw,1,1,0.052631578947368425,1.0,7534,1.0,6.259283747989684,1.0
