benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,4,1,0.12511123470522803,1.0,15249,1.0,9.464298418257385,1.0
__overall__,__overall__,recent_plus_full_old_raw,4,1,0.12511123470522803,1.0,15256.75,1.000508230047872,9.318474591476843,1.0156488946070552
__overall__,__overall__,recent_plus_prefix_to_farthest_top3,4,0.75,0.12938311688311688,0.75,8816.5,0.5781690602662469,6.63770382059738,1.4258392170028487
__overall__,__overall__,recent_plus_retrieval_raw_k2,4,0.5,0.054824561403508776,0.5,3475.25,0.227900190176405,4.740521668922156,1.9964677052956634
__overall__,__overall__,recent_plus_retrieval_raw_k3,4,0.5,0.056617647058823536,0.5,4506.25,0.2955111810610532,5.07618512888439,1.8644509957692157
__overall__,__overall__,router_safe,4,0.5,0.05416666666666667,0.5,3716.5,0.2437208997311299,4.8288491409039125,1.9599490773252368
longbench,hotpotqa,full_raw,2,1,0.20022246941045604,1.0,14492.5,1.0,9.252250549849123,1.0
longbench,hotpotqa,recent_plus_full_old_raw,2,1,0.20022246941045604,1.0,14500,1.0005175090564085,8.98635827167891,1.0295884350625313
longbench,hotpotqa,recent_plus_prefix_to_farthest_top3,2,1,0.23376623376623376,1.0,9343.5,0.6447127824736932,6.809043813962489,1.3588178902413055
longbench,hotpotqa,recent_plus_retrieval_raw_k2,2,0.5,0.08333333333333334,0.5,3771,0.26020355356218733,4.841709170490503,1.9109471932432895
longbench,hotpotqa,recent_plus_retrieval_raw_k3,2,0.5,0.08823529411764706,0.5,4802,0.33134379851647405,5.176794055616483,1.7872549014792343
longbench,hotpotqa,router_safe,2,0.5,0.08333333333333334,0.5,3787,0.26130757288252543,4.841725948499516,1.9109405712474203
ruler_16384,niah_multikey_1,full_raw,2,1,0.05,1.0,16005.5,1.0,9.676346286665648,1.0
ruler_16384,niah_multikey_1,recent_plus_full_old_raw,2,1,0.05,1.0,16013.5,1.0004998281840618,9.650590911274776,1.0026687873963016
ruler_16384,niah_multikey_1,recent_plus_prefix_to_farthest_top3,2,0.5,0.025,0.5,8289.5,0.5179157164724626,6.466363827232271,1.4964122875231582
ruler_16384,niah_multikey_1,recent_plus_retrieval_raw_k2,2,0.5,0.026315789473684213,0.5,3179.5,0.19865046390303334,4.639334167353809,2.085718755668954
ruler_16384,niah_multikey_1,recent_plus_retrieval_raw_k3,2,0.5,0.025,0.5,4210.5,0.26306582112398863,4.975576202152297,1.9447689862492565
ruler_16384,niah_multikey_1,router_safe,2,0.5,0.025,0.5,3646,0.22779669488613288,4.815972333308309,2.0092196584564945
