benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,32,0.78125,0.09126464727365427,0.7918399418298449,9763.46875,1.0,7.057308492207085,1.0
__overall__,__overall__,recent_plus_retrieval_raw_k2,32,0.875,0.10055339164817939,0.8840348248242985,3222.125,0.3300184680777516,4.961622894727043,1.422379056600055
__overall__,__overall__,recent_plus_span_top3_b0_a0,32,0.84375,0.0986833707607255,0.8527656280434011,2836.125,0.29048333872118964,4.83919740167039,1.4583634240196628
__overall__,__overall__,recent_plus_summary1_4,32,0.5,0.06612614733410192,0.5091937407190749,2690.125,0.2755296369438372,4.79901615511335,1.4705740226957822
__overall__,__overall__,router_safe,32,0.875,0.10271128638487396,0.8841937407190749,2940.4375,0.30116729773934087,4.87345874895982,1.4481108501664
longbench,2wikimqa,full_raw,1,0,0.0,0.0,7346,1.0,6.045562686864287,1.0
longbench,2wikimqa,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,3730,0.5077593248026137,4.8050139718689024,1.2581779620742444
longbench,2wikimqa,recent_plus_span_top3_b0_a0,1,1,0.11764705882352941,1.0,3281,0.4466376259188674,4.672478947788477,1.293866222709404
longbench,2wikimqa,recent_plus_summary1_4,1,1,0.11764705882352941,1.0,2231,0.30370269534440514,4.340718873310834,1.3927560994644885
longbench,2wikimqa,router_safe,1,1,0.11764705882352941,1.0,3730,0.5077593248026137,4.796330196317285,1.2604558984504832
longbench,gov_report,full_raw,1,0,0.1777059773828756,0.1777059773828756,11019,1.0,12.973459555767477,1.0
longbench,gov_report,recent_plus_retrieval_raw_k2,1,0,0.14992025518341306,0.14992025518341306,3236,0.2936745621199746,10.027975812088698,1.293726650210704
longbench,gov_report,recent_plus_span_top3_b0_a0,1,0,0.1324717285945073,0.1324717285945073,1564,0.14193665486886287,9.483658193144947,1.3679805083174608
longbench,gov_report,recent_plus_summary1_4,1,0,0.15335463258785942,0.15335463258785942,3153,0.2861421181595426,9.986071351915598,1.2991555035583455
longbench,gov_report,router_safe,1,0,0.15335463258785942,0.15335463258785942,3153,0.2861421181595426,10.00236965995282,1.2970386015336162
longbench,hotpotqa,full_raw,1,1,0.20689655172413793,1.0,11725,1.0,8.310511991847306,1.0
longbench,hotpotqa,recent_plus_retrieval_raw_k2,1,1,0.16666666666666669,1.0,3892,0.3319402985074627,4.878319947049022,1.703560258870367
longbench,hotpotqa,recent_plus_span_top3_b0_a0,1,1,0.19354838709677416,1.0,3654,0.31164179104477613,4.782216642051935,1.737794962856694
longbench,hotpotqa,recent_plus_summary1_4,1,1,0.17142857142857143,1.0,3363,0.2868230277185501,4.677481779363006,1.7767064381764535
longbench,hotpotqa,router_safe,1,1,0.16666666666666669,1.0,3892,0.3319402985074627,4.87797771487385,1.7036797783038304
longbench,multi_news,full_raw,1,0,0.16117216117216118,0.16117216117216118,2671,1.0,9.834758774843067,1.0
longbench,multi_news,recent_plus_retrieval_raw_k2,1,0,0.1391941391941392,0.1391941391941392,2988,1.1186821415200299,9.928075273055583,0.990600746303186
longbench,multi_news,recent_plus_span_top3_b0_a0,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.459849565755576,1.0396316248457749
longbench,multi_news,recent_plus_summary1_4,1,0,0.1408450704225352,0.1408450704225352,1079,0.4039685511044553,9.300863141659647,1.057402804992586
longbench,multi_news,router_safe,1,0,0.1408450704225352,0.1408450704225352,1079,0.4039685511044553,9.303122144192457,1.0571460443505505
longbench,musique,full_raw,1,0,0.0,0.0,16441,1.0,9.772656187880784,1.0
longbench,musique,recent_plus_retrieval_raw_k2,1,1,0.15384615384615385,1.0,3702,0.22516878535368895,4.793071120977402,2.0389132439762228
longbench,musique,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,3652,0.22212760780974394,4.803395887371153,2.0345306564413232
longbench,musique,recent_plus_summary1_4,1,0,0.0,0.0,4531,0.2755915090322973,5.1133415857329965,1.9112073824967974
longbench,musique,router_safe,1,1,0.15384615384615385,1.0,3702,0.22516878535368895,4.794805600773543,2.038175684600053
longbench,passage_count,full_raw,1,0,0.0,0.0,16259,1.0,9.716194115113467,1.0
longbench,passage_count,recent_plus_retrieval_raw_k2,1,0,0.0,0.0,3520,0.21649547942677902,4.754756052978337,2.043468478057319
longbench,passage_count,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,1572,0.09668491297127745,4.122701173182577,2.356754396441718
longbench,passage_count,recent_plus_summary1_4,1,0,0.0,0.0,4486,0.2759087274740144,5.1144511150196195,1.899753052009804
longbench,passage_count,router_safe,1,0,0.0,0.0,3520,0.21649547942677902,4.7584035960026085,2.0419020621276744
longbench,passage_retrieval_en,full_raw,1,1,0.1111111111111111,1.0,11398,1.0,7.650176106020808,1.0
longbench,passage_retrieval_en,recent_plus_retrieval_raw_k2,1,1,0.17391304347826084,1.0,3622,0.31777504825407965,4.800071503035724,1.5937629473191355
longbench,passage_retrieval_en,recent_plus_span_top3_b0_a0,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.794578589964658,1.595588843205759
longbench,passage_retrieval_en,recent_plus_summary1_4,1,0,0.08695652173913042,0.0,3317,0.29101596771363397,4.680850504897535,1.634355999623678
longbench,passage_retrieval_en,router_safe,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.803665527142584,1.592570519907002
longbench,qasper,full_raw,1,0,0.18867924528301885,0.0,3945,1.0,4.9145446959882975,1.0
longbench,qasper,recent_plus_retrieval_raw_k2,1,0,0.1923076923076923,0.0,3205,0.8124207858048162,4.659211887978017,1.054801716287921
longbench,qasper,recent_plus_span_top3_b0_a0,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.793122180737555,1.0253326559749951
longbench,qasper,recent_plus_summary1_4,1,0,0.19607843137254904,0.0,1396,0.35386565272496834,4.073345378041267,1.2065131335245465
longbench,qasper,router_safe,1,0,0.1923076923076923,0.0,3205,0.8124207858048162,4.660268404986709,1.0545625850067992
ruler_16384,cwe,full_raw,1,0,0.0,0.0,22384,1.0,0.0,0.0
ruler_16384,cwe,recent_plus_retrieval_raw_k2,1,1,0.08333333333333333,1.0,4061,0.1814242315939957,4.890350659843534,0.0
ruler_16384,cwe,recent_plus_span_top3_b0_a0,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.408195771742612,0.0
ruler_16384,cwe,recent_plus_summary1_4,1,0,0.0,0.0,5696,0.2544674767691208,5.42543753515929,0.0
ruler_16384,cwe,router_safe,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.426504239905626,0.0
ruler_16384,fwe,full_raw,1,1,0.06451612903225806,1.0,15958,1.0,9.54512308910489,1.0
ruler_16384,fwe,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,2440,0.15290136608597568,4.365567907225341,2.1864562164539922
ruler_16384,fwe,recent_plus_span_top3_b0_a0,1,1,0.125,1.0,1581,0.09907256548439654,4.074671110603958,2.3425505592990272
ruler_16384,fwe,recent_plus_summary1_4,1,1,0.14285714285714288,1.0,3571,0.22377490913648326,4.700527593959123,2.030649304425272
