benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,80,0.875,0.07898708949609805,0.875,16670.9625,1.0,8.446928033727454,1.0
__overall__,__overall__,recent_plus_retrieval_raw_k2,80,0.875,0.0795657784110797,0.875,3309.3875,0.19851208351047514,4.778461868758313,1.7677085777232318
__overall__,__overall__,recent_plus_span_top3_b0_a0,80,0.95,0.09097320677824026,0.95,3067.0875,0.1839778297143911,4.66371568653849,1.8112013256101696
__overall__,__overall__,router_safe_v5,80,1,0.09356914786102345,1.0,4613.175,0.2767191756324807,5.28469045603415,1.5983770674936328
ruler_16384,cwe,full_raw,10,0,0.0,0.0,22332.2,1.0,0.0,0.0
ruler_16384,cwe,recent_plus_retrieval_raw_k2,10,1,0.08300282648108735,1.0,4028.8,0.1804031846392205,4.954725265456363,0.0
ruler_16384,cwe,recent_plus_span_top3_b0_a0,10,1,0.0813623188405797,1.0,3129.2,0.14012054343056213,4.6411316558718685,0.0
ruler_16384,cwe,router_safe_v5,10,1,0.0813623188405797,1.0,3129.2,0.14012054343056213,4.762259411765262,0.0
ruler_16384,fwe,full_raw,10,1,0.0629411045943304,1.0,15025.2,1.0,9.25033112480305,1.0
ruler_16384,fwe,recent_plus_retrieval_raw_k2,10,1,0.11212160302717578,1.0,2663.3,0.1772555440193808,4.510127798840403,2.0510130837492895
ruler_16384,fwe,recent_plus_span_top3_b0_a0,10,1,0.11265522875816994,1.0,1581.6,0.10526315789473684,4.146914676297456,2.2306538346870797
ruler_16384,fwe,router_safe_v5,10,1,0.11265522875816994,1.0,1581.6,0.10526315789473684,4.1637352025602015,2.2216425096185746
ruler_16384,niah_multikey_1,full_raw,10,1,0.05173019173019173,1.0,16006.4,1.0,9.69725997275673,1.0
ruler_16384,niah_multikey_1,recent_plus_retrieval_raw_k2,10,0.5,0.026465331728489624,0.5,3177.9,0.1985393342662935,4.686517422413454,2.069182529094889
ruler_16384,niah_multikey_1,recent_plus_span_top3_b0_a0,10,0.6,0.03081196581196581,0.6,3645.7,0.22776514394242303,4.853383695380762,1.9980410743099
ruler_16384,niah_multikey_1,router_safe_v5,10,1,0.05157949447423132,1.0,16014.4,1.000499800079968,9.724304902926088,0.9972188315319874
ruler_16384,niah_multiquery,full_raw,10,1,0.16552114552114552,1.0,16037.7,1.0,9.714067992335185,1.0
ruler_16384,niah_multiquery,recent_plus_retrieval_raw_k2,10,1,0.17602175602175602,1.0,3211.6,0.200253153507049,4.710983538348228,2.062004231868139
ruler_16384,niah_multiquery,recent_plus_span_top3_b0_a0,10,1,0.17031968031968034,1.0,3678,0.22933463027740886,4.8440142558887604,2.0053755994887936
ruler_16384,niah_multiquery,router_safe_v5,10,1,0.17031968031968034,1.0,3678,0.22933463027740886,4.844032893516124,2.0053678837189035
ruler_16384,niah_multivalue,full_raw,10,1,0.17666666666666667,1.0,16008.4,1.0,9.812894315458834,1.0
ruler_16384,niah_multivalue,recent_plus_retrieval_raw_k2,10,1,0.09372196685540013,1.0,3181.1,0.19871442492691338,4.7400361729320135,2.0702150695590444
ruler_16384,niah_multivalue,recent_plus_span_top3_b0_a0,10,1,0.15,1.0,3647.8,0.2278678693685815,4.950026148371398,1.9823924200253693
ruler_16384,niah_multivalue,router_safe_v5,10,1,0.15,1.0,3647.8,0.2278678693685815,4.906160289375111,2.000116942104369
ruler_16384,niah_single_1,full_raw,10,1,0.05754324017481912,1.0,15680.1,1.0,9.607395036984235,1.0
ruler_16384,niah_single_1,recent_plus_retrieval_raw_k2,10,1,0.05501373996730034,1.0,3632.8,0.23168219590436287,4.852820808812976,1.9797547479059403
ruler_16384,niah_single_1,recent_plus_span_top3_b0_a0,10,1,0.05543046806204702,1.0,2569.9,0.16389563842067334,4.497615823382512,2.136108421496708
ruler_16384,niah_single_1,router_safe_v5,10,1,0.05543046806204702,1.0,2569.9,0.16389563842067334,4.507871967926621,2.131248426162183
ruler_16384,niah_single_2,full_raw,10,1,0.05313813813813814,1.0,15941.1,1.0,9.658903796039521,1.0
ruler_16384,niah_single_2,recent_plus_retrieval_raw_k2,10,0.5,0.026075123706702653,0.5,3122.2,0.19585850411828543,4.765976496925577,2.0266368922025233
ruler_16384,niah_single_2,recent_plus_span_top3_b0_a0,10,1,0.051437794069373016,1.0,3647,0.22877969525315064,4.851398905087263,1.9909522974725957
ruler_16384,niah_single_2,router_safe_v5,10,1,0.051437794069373016,1.0,3647,0.22877969525315064,4.849867014912888,1.9915811642544616
ruler_16384,vt,full_raw,10,1,0.06435622914349276,1.0,16336.6,1.0,9.834572031442075,1.0
ruler_16384,vt,recent_plus_retrieval_raw_k2,10,1,0.06410387950072567,1.0,3457.4,0.21163522397561305,5.0065074463374915,1.9643578156737893
ruler_16384,vt,recent_plus_span_top3_b0_a0,10,1,0.0757681983641063,1.0,2637.5,0.16144730237625943,4.525240332027897,2.173270657435979
ruler_16384,vt,router_safe_v5,10,1,0.0757681983641063,1.0,2637.5,0.16144730237625943,4.519291965290904,2.176131152174637
