benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,32,0.78125,0.09126464727365427,0.7918399418298449,9763.46875,1.0,7.140220651621348,1.0
__overall__,__overall__,recent_plus_full_old_raw,32,0.78125,0.09142130190378331,0.7906623324805783,9771.1875,1.0007905745588626,7.070652193229762,1.009839044050024
__overall__,__overall__,recent_plus_kv_safe_rule_v0,32,0.75,0.09122640163822714,0.7591937407190749,6190.375,0.6340343947943706,5.759466928560869,1.239736374943556
__overall__,__overall__,recent_plus_prefix_to_farthest_top2,32,0.78125,0.09812619087935195,0.7915258865248227,4361.5,0.44671623494467577,5.382374689070275,1.3265930122108824
__overall__,__overall__,recent_plus_prefix_to_farthest_top3,32,0.8125,0.09925457360455962,0.8227758865248227,4674.0625,0.4787297035185369,5.489768865780206,1.3006413978790672
__overall__,__overall__,recent_plus_retrieval_raw_k2,32,0.875,0.10055339164817939,0.8840348248242985,3222.125,0.3300184680777516,4.971409616497112,1.4362567566203475
__overall__,__overall__,recent_plus_retrieval_raw_k3,32,0.875,0.10440261962331952,0.8834469701386378,3763.125,0.38542910274588627,5.1482927939650835,1.386910367644831
__overall__,__overall__,recent_plus_span_top2_b0_a0,32,0.8125,0.0947976154535616,0.8215156280434011,2362.34375,0.2419574241992632,4.69373394647846,1.5212239835149581
__overall__,__overall__,recent_plus_span_top2_b1_a0,32,0.78125,0.09086703820002295,0.7902656280434011,2974.96875,0.30470407866056826,4.890699338182458,1.4599590279198977
__overall__,__overall__,recent_plus_span_top3_b0_a0,32,0.84375,0.0986833707607255,0.8527656280434011,2836.125,0.29048333872118964,4.858052280251286,1.4697702370654635
longbench,2wikimqa,full_raw,1,0,0.0,0.0,7346,1.0,6.110821629874408,1.0
longbench,2wikimqa,recent_plus_full_old_raw,1,0,0.0,0.0,7354,1.001089028042472,6.124004513025284,0.9978473426786613
longbench,2wikimqa,recent_plus_kv_safe_rule_v0,1,0,0.0,0.0,4682,0.6373536618567928,5.189620913937688,1.1775082864844069
longbench,2wikimqa,recent_plus_prefix_to_farthest_top2,1,0,0.0,0.0,6745,0.9181867683092839,5.9102188353426754,1.033941686445203
longbench,2wikimqa,recent_plus_prefix_to_farthest_top3,1,0,0.0,0.0,7408,1.0084399673291586,6.132779824081808,0.9964195365173267
longbench,2wikimqa,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,3730,0.5077593248026137,4.845825782977045,1.2610485608750488
longbench,2wikimqa,recent_plus_retrieval_raw_k3,1,1,0.11764705882352941,1.0,4392,0.5978763953171794,5.0559721468016505,1.208634354075713
longbench,2wikimqa,recent_plus_span_top2_b0_a0,1,1,0.11764705882352941,1.0,2618,0.35638442689899263,4.503134882077575,1.3570150106307959
longbench,2wikimqa,recent_plus_span_top2_b1_a0,1,0,0.0,0.0,4682,0.6373536618567928,5.1870338171720505,1.1780955831913205
longbench,2wikimqa,recent_plus_span_top3_b0_a0,1,1,0.11764705882352941,1.0,3281,0.4466376259188674,4.705072397831827,1.2987731352848837
longbench,gov_report,full_raw,1,0,0.1777059773828756,0.1777059773828756,11019,1.0,13.792304675094783,1.0
longbench,gov_report,recent_plus_full_old_raw,1,0,0.14790996784565913,0.14790996784565913,11026,1.0006352663581086,12.877660860773176,1.0710256174790032
longbench,gov_report,recent_plus_kv_safe_rule_v0,1,0,0.15335463258785942,0.15335463258785942,3153,0.2861421181595426,10.046057614963502,1.3729071844612244
longbench,gov_report,recent_plus_prefix_to_farthest_top2,1,0,0.1728,0.1728,1564,0.14193665486886287,9.516394043341279,1.4493204686858678
longbench,gov_report,recent_plus_prefix_to_farthest_top3,1,0,0.1728,0.1728,1564,0.14193665486886287,9.51870735688135,1.4489682430591717
longbench,gov_report,recent_plus_retrieval_raw_k2,1,0,0.14992025518341306,0.14992025518341306,3236,0.2936745621199746,10.072356178890914,1.3693225726071852
longbench,gov_report,recent_plus_retrieval_raw_k3,1,0,0.12641815235008103,0.12641815235008103,4267,0.38724022143570197,10.400605033151805,1.32610599394285
longbench,gov_report,recent_plus_span_top2_b0_a0,1,0,0.1324717285945073,0.1324717285945073,1564,0.14193665486886287,9.514657760038972,1.4495849480810217
longbench,gov_report,recent_plus_span_top2_b1_a0,1,0,0.1324717285945073,0.1324717285945073,1564,0.14193665486886287,9.507095525041223,1.4507379923517683
longbench,gov_report,recent_plus_span_top3_b0_a0,1,0,0.1324717285945073,0.1324717285945073,1564,0.14193665486886287,9.507466788869351,1.450681341452784
longbench,hotpotqa,full_raw,1,1,0.20689655172413793,1.0,11725,1.0,8.36699749622494,1.0
longbench,hotpotqa,recent_plus_full_old_raw,1,1,0.20689655172413793,1.0,11732,1.0005970149253731,7.730536143295467,1.0823308165348224
longbench,hotpotqa,recent_plus_kv_safe_rule_v0,1,1,0.17142857142857143,1.0,4686,0.39965884861407247,5.1677391501143575,1.6190827851749803
longbench,hotpotqa,recent_plus_prefix_to_farthest_top2,1,1,0.2857142857142857,1.0,9846,0.8397441364605543,7.0134926568716764,1.1929858496432768
longbench,hotpotqa,recent_plus_prefix_to_farthest_top3,1,1,0.2857142857142857,1.0,9846,0.8397441364605543,7.027469576336443,1.190613122595234
longbench,hotpotqa,recent_plus_retrieval_raw_k2,1,1,0.16666666666666669,1.0,3892,0.3319402985074627,4.917004664894193,1.7016452223367955
longbench,hotpotqa,recent_plus_retrieval_raw_k3,1,1,0.17647058823529413,1.0,4923,0.4198720682302772,5.219012394081801,1.6031763989893675
longbench,hotpotqa,recent_plus_span_top2_b0_a0,1,1,0.19354838709677416,1.0,2622,0.22362473347547973,4.480379085056484,1.8674753491577505
longbench,hotpotqa,recent_plus_span_top2_b1_a0,1,1,0.17142857142857143,1.0,4686,0.39965884861407247,5.149463171605021,1.6248290777885213
longbench,hotpotqa,recent_plus_span_top3_b0_a0,1,1,0.19354838709677416,1.0,3654,0.31164179104477613,4.8163659470155835,1.7372013647363054
longbench,multi_news,full_raw,1,0,0.16117216117216118,0.16117216117216118,2671,1.0,10.861807881854475,1.0
longbench,multi_news,recent_plus_full_old_raw,1,0,0.15328467153284672,0.15328467153284672,2679,1.0029951329090228,9.862993813119829,1.1012688528107983
longbench,multi_news,recent_plus_kv_safe_rule_v0,1,0,0.1408450704225352,0.1408450704225352,1079,0.4039685511044553,9.339413818903267,1.1630074534088888
longbench,multi_news,recent_plus_prefix_to_farthest_top2,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.509355106856674,1.1422233957823933
longbench,multi_news,recent_plus_prefix_to_farthest_top3,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.501953556202352,1.1431131311691674
longbench,multi_news,recent_plus_retrieval_raw_k2,1,0,0.1391941391941392,0.1391941391941392,2988,1.1186821415200299,9.962401622906327,1.0902800642849173
longbench,multi_news,recent_plus_retrieval_raw_k3,1,0,0.14388489208633096,0.14388489208633096,3093,1.1579932609509547,9.998440206050873,1.0863502364379904
longbench,multi_news,recent_plus_span_top2_b0_a0,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.505670208949596,1.1426661816678716
longbench,multi_news,recent_plus_span_top2_b1_a0,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.495995730161667,1.1438303249605142
longbench,multi_news,recent_plus_span_top3_b0_a0,1,0,0.15602836879432624,0.15602836879432624,1564,0.5855484837139648,9.49573884671554,1.143861268426884
longbench,musique,full_raw,1,0,0.0,0.0,16441,1.0,9.85530716786161,1.0
longbench,musique,recent_plus_full_old_raw,1,0,0.0,0.0,16449,1.0004865884070313,9.835242784116417,1.0020400496648234
longbench,musique,recent_plus_kv_safe_rule_v0,1,0,0.0,0.0,4684,0.2848975123167691,5.184595259372145,1.9008826484663894
longbench,musique,recent_plus_prefix_to_farthest_top2,1,0,0.0,0.0,4684,0.2848975123167691,5.181121135130525,1.9021572572464729
longbench,musique,recent_plus_prefix_to_farthest_top3,1,0,0.0,0.0,6747,0.4103764977799404,5.891902065370232,1.672686860459947
longbench,musique,recent_plus_retrieval_raw_k2,1,1,0.15384615384615385,1.0,3702,0.22516878535368895,4.826148943975568,2.042064445641258
longbench,musique,recent_plus_retrieval_raw_k3,1,1,0.15384615384615385,1.0,4732,0.28781704275895625,5.196089372038841,1.896677763260755
longbench,musique,recent_plus_span_top2_b0_a0,1,0,0.0,0.0,2621,0.15941852685359773,4.49738305201754,2.1913426216698375
longbench,musique,recent_plus_span_top2_b1_a0,1,0,0.0,0.0,3652,0.22212760780974394,4.83300089975819,2.039169321974408
longbench,musique,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,3652,0.22212760780974394,4.829541380982846,2.0406300289026587
longbench,passage_count,full_raw,1,0,0.0,0.0,16259,1.0,9.68188880616799,1.0
longbench,passage_count,recent_plus_full_old_raw,1,0,0.0,0.0,16267,1.0004920351805153,9.677361648064107,1.0004678091269628
longbench,passage_count,recent_plus_kv_safe_rule_v0,1,0,0.0,0.0,1572,0.09668491297127745,4.088363294955343,2.368157648346597
longbench,passage_count,recent_plus_prefix_to_farthest_top2,1,0,0.0,0.0,1572,0.09668491297127745,4.100739297922701,2.3610105648687583
longbench,passage_count,recent_plus_prefix_to_farthest_top3,1,0,0.0,0.0,1572,0.09668491297127745,4.099364140070975,2.3618025809242607
longbench,passage_count,recent_plus_retrieval_raw_k2,1,0,0.0,0.0,3520,0.21649547942677902,4.743461834266782,2.041101867042757
longbench,passage_count,recent_plus_retrieval_raw_k3,1,0,0.0,0.0,4551,0.2799065133157021,5.080963909160346,1.905522058267871
longbench,passage_count,recent_plus_span_top2_b0_a0,1,0,0.0,0.0,1572,0.09668491297127745,4.091738310176879,2.366204305414013
longbench,passage_count,recent_plus_span_top2_b1_a0,1,0,0.0,0.0,1572,0.09668491297127745,4.092097829096019,2.365996418102938
longbench,passage_count,recent_plus_span_top3_b0_a0,1,0,0.0,0.0,1572,0.09668491297127745,4.0884119449183345,2.3681294685096574
longbench,passage_retrieval_en,full_raw,1,1,0.1111111111111111,1.0,11398,1.0,7.67952591413632,1.0
longbench,passage_retrieval_en,recent_plus_full_old_raw,1,1,0.1142857142857143,1.0,11406,1.0007018775223724,7.6112077119760215,1.0089760002282953
longbench,passage_retrieval_en,recent_plus_kv_safe_rule_v0,1,1,0.17391304347826084,1.0,6804,0.5969468327776803,5.869521209038794,1.3083734840774068
longbench,passage_retrieval_en,recent_plus_prefix_to_farthest_top2,1,1,0.17391304347826084,1.0,6804,0.5969468327776803,5.9141981662251055,1.2984897864925589
longbench,passage_retrieval_en,recent_plus_prefix_to_farthest_top3,1,1,0.17391304347826084,1.0,6804,0.5969468327776803,5.87782412301749,1.3065252980373108
longbench,passage_retrieval_en,recent_plus_retrieval_raw_k2,1,1,0.17391304347826084,1.0,3622,0.31777504825407965,4.851722559891641,1.5828452306035892
longbench,passage_retrieval_en,recent_plus_retrieval_raw_k3,1,1,0.17391304347826084,1.0,4652,0.4081417792595192,5.173539794050157,1.4843852023653474
longbench,passage_retrieval_en,recent_plus_span_top2_b0_a0,1,1,0.17391304347826084,1.0,2677,0.23486576592384628,4.5085976351983845,1.7033070004257345
longbench,passage_retrieval_en,recent_plus_span_top2_b1_a0,1,1,0.17391304347826084,1.0,3709,0.32540796630987895,4.825745510868728,1.5913657064675704
longbench,passage_retrieval_en,recent_plus_span_top3_b0_a0,1,1,0.17391304347826084,1.0,3708,0.3253202316195824,4.821054966188967,1.5929139924755862
longbench,qasper,full_raw,1,0,0.18867924528301885,0.0,3945,1.0,4.904639299958944,1.0
longbench,qasper,recent_plus_full_old_raw,1,0,0.18867924528301885,0.0,3953,1.0020278833967047,4.875540598295629,1.0059683026069945
longbench,qasper,recent_plus_kv_safe_rule_v0,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.758083263877779,1.0308014862189956
longbench,qasper,recent_plus_prefix_to_farthest_top2,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.753882952965796,1.03171225469468
longbench,qasper,recent_plus_prefix_to_farthest_top3,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.778415561653674,1.0264153957889732
longbench,qasper,recent_plus_retrieval_raw_k2,1,0,0.1923076923076923,0.0,3205,0.8124207858048162,4.620628566946834,1.0614658219974118
longbench,qasper,recent_plus_retrieval_raw_k3,1,0,0.18867924528301885,0.0,4236,1.073764258555133,4.944726630114019,0.9918929127626718
longbench,qasper,recent_plus_span_top2_b0_a0,1,0,0.19999999999999998,0.0,2624,0.6651457541191381,4.426003466825932,1.108141766431164
longbench,qasper,recent_plus_span_top2_b1_a0,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.7635615868493915,1.0296160153568752
longbench,qasper,recent_plus_span_top3_b0_a0,1,0,0.19607843137254904,0.0,3656,0.9267427122940431,4.761848581954837,1.029986404554151
ruler_16384,cwe,full_raw,1,0,0.0,0.0,22384,1.0,0.0,0.0
ruler_16384,cwe,recent_plus_full_old_raw,1,0,0.0,0.0,22392,1.0003573981415297,0.0,0.0
ruler_16384,cwe,recent_plus_kv_safe_rule_v0,1,0,0.0,0.0,22392,1.0003573981415297,0.0,0.0
ruler_16384,cwe,recent_plus_prefix_to_farthest_top2,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.431108247023076,0.0
ruler_16384,cwe,recent_plus_prefix_to_farthest_top3,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.434073008131236,0.0
ruler_16384,cwe,recent_plus_retrieval_raw_k2,1,1,0.08333333333333333,1.0,4061,0.1814242315939957,4.912627881858498,0.0
ruler_16384,cwe,recent_plus_retrieval_raw_k3,1,1,0.08333333333333333,1.0,4061,0.1814242315939957,4.910077891778201,0.0
ruler_16384,cwe,recent_plus_span_top2_b0_a0,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.430672015994787,0.0
ruler_16384,cwe,recent_plus_span_top2_b1_a0,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.433733549900353,0.0
ruler_16384,cwe,recent_plus_span_top3_b0_a0,1,1,0.08333333333333333,1.0,2614,0.11677984274481773,4.430542038753629,0.0
ruler_16384,fwe,full_raw,1,1,0.06451612903225806,1.0,15958,1.0,9.696646584197879,1.0
ruler_16384,fwe,recent_plus_full_old_raw,1,1,0.08333333333333333,1.0,15965,1.0004386514600827,9.646884670015424,1.0051583403227702
ruler_16384,fwe,recent_plus_kv_safe_rule_v0,1,1,0.08333333333333333,1.0,15965,1.0004386514600827,9.62420026306063,1.0075275159656965
ruler_16384,fwe,recent_plus_prefix_to_farthest_top2,1,1,0.125,1.0,1581,0.09907256548439654,4.095956814009696,2.3673703177318033
ruler_16384,fwe,recent_plus_prefix_to_farthest_top3,1,1,0.125,1.0,1581,0.09907256548439654,4.098152681719512,2.3661018359446135
ruler_16384,fwe,recent_plus_retrieval_raw_k2,1,1,0.11764705882352941,1.0,2440,0.15290136608597568,4.394682061858475,2.2064500793709856
