OVERALL_FRONTIER
group,block,method,samples,score,token,e2e_speed,attn_upper
longbench,32,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,32,top1,24,0.1613,0.0585,1.681,17.1
longbench,32,top2,24,0.1613,0.0610,1.676,16.4
longbench,32,top3,24,0.2029,0.0635,1.673,15.8
longbench,32,top4,24,0.1613,0.0659,1.671,15.2
longbench,32,top6,24,0.1613,0.0709,1.664,14.1
longbench,32,top8,24,0.1196,0.0755,1.661,13.2
longbench,32,top12,24,0.1196,0.0848,1.653,11.8
longbench,32,top16,24,0.1613,0.0942,1.645,10.6
longbench,32,top24,24,0.1613,0.1123,1.624,8.9
longbench,32,top32,24,0.2446,0.1296,1.609,7.7
longbench,64,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,64,top1,24,0.0774,0.0616,1.665,16.2
longbench,64,top2,24,0.0774,0.0660,1.660,15.2
longbench,64,top3,24,0.0774,0.0704,1.651,14.2
longbench,64,top4,24,0.0774,0.0748,1.652,13.4
longbench,64,top6,24,0.0774,0.0833,1.645,12.0
longbench,64,top8,24,0.1191,0.0915,1.638,10.9
longbench,64,top12,24,0.1607,0.1080,1.618,9.3
longbench,64,top16,24,0.1607,0.1245,1.607,8.0
longbench,64,top24,24,0.2441,0.1554,1.576,6.4
longbench,64,top32,24,0.2441,0.1858,1.549,5.4
longbench,128,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,128,top1,24,0.1211,0.0677,1.670,14.8
longbench,128,top2,24,0.1627,0.0760,1.661,13.2
longbench,128,top3,24,0.1627,0.0843,1.654,11.9
longbench,128,top4,24,0.1627,0.0926,1.648,10.8
longbench,128,top6,24,0.2877,0.1091,1.628,9.2
longbench,128,top8,24,0.2461,0.1245,1.617,8.0
longbench,128,top12,24,0.3294,0.1554,1.584,6.4
longbench,128,top16,24,0.2461,0.1845,1.559,5.4
longbench,128,top24,24,0.2044,0.2405,1.506,4.2
longbench,128,top32,24,0.2877,0.2869,1.468,3.5
longbench,256,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,256,top1,24,0.0383,0.0801,1.648,12.5
longbench,256,top2,24,0.2050,0.0961,1.637,10.4
longbench,256,top3,24,0.1633,0.1121,1.618,8.9
longbench,256,top4,24,0.2883,0.1281,1.605,7.8
longbench,256,top6,24,0.2467,0.1587,1.576,6.3
longbench,256,top8,24,0.1633,0.1886,1.549,5.3
longbench,512,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,512,top1,24,0.1595,0.1049,1.628,9.5
longbench,512,top2,24,0.2845,0.1364,1.598,7.3
longbench,512,top3,24,0.2428,0.1679,1.539,6.0
longbench,512,top4,24,0.3262,0.1993,1.537,5.0
longbench,512,top6,24,0.2428,0.2588,1.492,3.9
longbench,512,top8,24,0.2012,0.3134,1.432,3.2
longbench,1024,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,1024,top1,24,0.2461,0.1531,1.590,6.5
longbench,1024,top2,24,0.2878,0.2156,1.531,4.6
longbench,1024,top3,24,0.2461,0.2752,1.479,3.6
longbench,1024,top4,24,0.2044,0.3306,1.407,3.0
longbench,1024,top6,24,0.2044,0.4219,1.330,2.4
longbench,1024,top8,24,0.2044,0.4979,1.301,2.0
longbench,2048,full_raw,24,0.2465,1.0000,1.000,1.0
longbench,2048,top1,24,0.2457,0.2450,1.453,4.1
longbench,2048,top2,24,0.2040,0.3610,1.341,2.8
longbench,2048,top3,24,0.2457,0.4550,1.303,2.2
longbench,2048,top4,24,0.2040,0.5327,1.284,1.9
longbench,2048,top6,24,0.2457,0.6694,1.171,1.5
longbench,2048,top8,24,0.2457,0.7382,1.135,1.4
ruler4k,32,full_raw,24,1.0000,1.0000,1.000,1.0
ruler4k,32,top1,24,0.4583,0.1489,1.304,6.7
