group,dataset,mode,loss,ppl,token_count,seconds,ppl_delta_vs_baseline,ppl_ratio_vs_baseline,time_ratio_vs_baseline,source_csv
needle_ppl,niah_len1000_depth0,qabs8cand3reuse,3.35610994783201,28.677416968970775,32,2.428714100002253,7.734637,1.369322,5.741758,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,lagrefresh2qabs8cand3,3.4483838627202203,31.449524466190237,32,2.00990759999695,10.506744,1.501688,4.751651,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,lagrefresh4qabs8cand3,3.4638442558498355,31.9395245147705,32,1.8904109000068274,10.996744,1.525085,4.469147,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,qdriftqabs8cand3,3.3414857021707576,28.261083082834666,32,1.9292490000007092,7.318303,1.349443,4.560965,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,qdriftheadqabs8cand3,3.4665352260053623,32.02558856798603,32,2.660552800000005,11.082808,1.529195,6.289851,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,qdriftshareqabs8cand3,3.4754775739711476,32.31325682262503,32,2.1902164999992237,11.370477,1.542931,5.177922,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,qdriftcosheadqabs8cand3,3.520625038043363,33.8055516176124,32,2.6106398000047193,12.862771,1.614186,6.171851,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,pconf50qabs8cand3,3.8824719712138176,48.54406641055277,32,2.214448300001095,27.601286,2.317938,5.235209,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth0,baseline,3.041793964453973,20.942780158243977,32,0.4229914000025019,0.000000,1.000000,1.000000,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth0\ppl_by_mode.csv
needle_ppl,niah_len1000_depth25,qabs8cand3reuse,3.184298282620148,24.15033574822969,32,2.3233025999943493,2.306814,1.105606,5.915194,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth25\ppl_by_mode.csv
