sample_id,context_length_words_target,target_depth_percent,actual_depth_percent_by_char,needle_char_start_in_context,needle_char_end_in_context,prompt_path
niah_len1000_depth0,1000,0.0,0.0000,0,95,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth0.txt
niah_len1000_depth10,1000,10.0,10.5113,625,720,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth10.txt
niah_len1000_depth25,1000,25.0,24.2516,1442,1537,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth25.txt
niah_len1000_depth50,1000,50.0,46.6196,2773,2868,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth50.txt
niah_len1000_depth75,1000,75.0,75.5298,4491,4586,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth75.txt
niah_len1000_depth90,1000,90.0,88.8160,5281,5376,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth90.txt
niah_len1000_depth100,1000,100.0,100.0000,5948,6043,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len1000_depth100.txt
niah_len2000_depth0,2000,0.0,0.0000,0,95,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth0.txt
niah_len2000_depth10,2000,10.0,10.1246,1178,1273,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth10.txt
niah_len2000_depth25,2000,25.0,23.8247,2773,2868,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth25.txt
niah_len2000_depth50,2000,50.0,50.9411,5927,6022,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth50.txt
niah_len2000_depth75,2000,75.0,75.7714,8816,8911,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth75.txt
niah_len2000_depth90,2000,90.0,89.7980,10448,10543,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth90.txt
niah_len2000_depth100,2000,100.0,100.0000,11637,11732,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len2000_depth100.txt
niah_len4000_depth0,4000,0.0,0.0000,0,95,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth0.txt
niah_len4000_depth10,4000,10.0,9.5979,2244,2339,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth10.txt
niah_len4000_depth25,4000,25.0,25.3507,5927,6022,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth25.txt
niah_len4000_depth50,4000,50.0,49.6065,11599,11694,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth50.txt
niah_len4000_depth75,4000,75.0,75.0257,17541,17636,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth75.txt
niah_len4000_depth90,4000,90.0,90.1069,21067,21162,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth90.txt
