target_context_tokens,placement,condition,latent_failure_mechanism,count,fraction,sample_count
0,middle,clean,latent_success,16,1.0,16
0,middle,competitor2,composition_or_state_update_failure,1,0.0625,16
0,middle,competitor2,latent_success,15,0.9375,16
0,middle,conflict1,first_hop_access_or_binding_failure,15,0.9375,16
0,middle,conflict1,latent_success,1,0.0625,16
0,middle,high4,composition_or_state_update_failure,8,0.5,16
0,middle,high4,latent_success,5,0.3125,16
0,middle,high4,second_rule_access_failure,3,0.1875,16
0,middle,low16,composition_or_state_update_failure,4,0.25,16
0,middle,low16,latent_success,12,0.75,16
0,middle,mixed,composition_or_state_update_failure,4,0.25,16
0,middle,mixed,first_hop_access_or_binding_failure,6,0.375,16
0,middle,mixed,latent_success,6,0.375,16
1024,middle,clean,composition_or_state_update_failure,12,0.75,16
1024,middle,clean,latent_success,4,0.25,16
1024,middle,competitor2,composition_or_state_update_failure,9,0.5625,16
1024,middle,competitor2,latent_success,7,0.4375,16
1024,middle,conflict1,first_hop_access_or_binding_failure,16,1.0,16
1024,middle,high4,composition_or_state_update_failure,3,0.1875,16
1024,middle,high4,first_hop_access_or_binding_failure,1,0.0625,16
1024,middle,high4,latent_success,4,0.25,16
1024,middle,high4,second_rule_access_failure,8,0.5,16
1024,middle,low16,composition_or_state_update_failure,12,0.75,16
1024,middle,low16,latent_success,4,0.25,16
1024,middle,mixed,composition_or_state_update_failure,3,0.1875,16
1024,middle,mixed,first_hop_access_or_binding_failure,7,0.4375,16
1024,middle,mixed,latent_success,4,0.25,16
1024,middle,mixed,second_rule_access_failure,2,0.125,16
8192,middle,clean,composition_or_state_update_failure,15,0.9375,16
8192,middle,clean,latent_success,1,0.0625,16
8192,middle,competitor2,composition_or_state_update_failure,12,0.75,16
8192,middle,competitor2,latent_success,1,0.0625,16
8192,middle,competitor2,second_rule_access_failure,3,0.1875,16
8192,middle,conflict1,composition_or_state_update_failure,2,0.125,16
8192,middle,conflict1,first_hop_access_or_binding_failure,14,0.875,16
8192,middle,high4,composition_or_state_update_failure,10,0.625,16
8192,middle,high4,first_hop_access_or_binding_failure,3,0.1875,16
8192,middle,high4,second_rule_access_failure,3,0.1875,16
8192,middle,low16,composition_or_state_update_failure,16,1.0,16
8192,middle,mixed,composition_or_state_update_failure,10,0.625,16
8192,middle,mixed,first_hop_access_or_binding_failure,4,0.25,16
8192,middle,mixed,second_rule_access_failure,2,0.125,16
32768,middle,clean,composition_or_state_update_failure,15,0.9375,16
32768,middle,clean,latent_success,1,0.0625,16
32768,middle,competitor2,composition_or_state_update_failure,5,0.3125,16
32768,middle,competitor2,second_rule_access_failure,11,0.6875,16
32768,middle,conflict1,first_hop_access_or_binding_failure,16,1.0,16
32768,middle,high4,composition_or_state_update_failure,8,0.5,16
32768,middle,high4,first_hop_access_or_binding_failure,2,0.125,16
32768,middle,high4,latent_success,1,0.0625,16
32768,middle,high4,second_rule_access_failure,5,0.3125,16
32768,middle,low16,composition_or_state_update_failure,16,1.0,16
32768,middle,mixed,composition_or_state_update_failure,13,0.8125,16
32768,middle,mixed,second_rule_access_failure,3,0.1875,16
64000,middle,clean,composition_or_state_update_failure,16,1.0,16
64000,middle,competitor2,composition_or_state_update_failure,16,1.0,16
64000,middle,conflict1,first_hop_access_or_binding_failure,14,0.875,16
64000,middle,conflict1,second_rule_access_failure,2,0.125,16
64000,middle,high4,composition_or_state_update_failure,6,0.375,16
64000,middle,high4,second_rule_access_failure,10,0.625,16
64000,middle,low16,composition_or_state_update_failure,16,1.0,16
64000,middle,mixed,composition_or_state_update_failure,5,0.3125,16
64000,middle,mixed,second_rule_access_failure,11,0.6875,16
