target_context_tokens,placement,condition_vs_clean,pair_count,delta_generation_final_accuracy,generation_gains,generation_losses,generation_mcnemar_exact_p,delta_start_excluded_candidate_accuracy,delta_gold_mean_nll,delta_candidate_margin
0,middle,competitor2,16,0.1875,3,0,0.25,-0.0625,-0.06448732288467747,0.1058443058553433
0,middle,conflict1,16,0,0,0,1.0,-0.9375,0.008740539442730524,0.14153649660258777
0,middle,high4,16,0.1875,3,0,0.25,-0.6875,-0.05005499602977384,0.09826631007228068
0,middle,low16,16,0,0,0,1.0,-0.25,-0.21476142148576727,0.3335109984422609
0,middle,mixed,16,0,0,0,1.0,-0.625,-0.08291036639267141,0.06660024800729308
1024,middle,competitor2,16,0,0,0,1.0,0.1875,-0.2665908199579852,0.18982773598563496
1024,middle,conflict1,16,0,0,0,1.0,-0.25,-0.14274746649492237,0.19116270940257404
1024,middle,high4,16,0,0,0,1.0,0,-0.015117743525382005,-0.01447325905821474
1024,middle,low16,16,0,0,0,1.0,0,-0.12392437873489011,0.2538601339628355
1024,middle,mixed,16,0,0,0,1.0,0,-0.33872591183363243,0.13715673506996895
8192,middle,competitor2,16,0,0,0,1.0,0,-0.4035284914219639,0.255094305071907
8192,middle,conflict1,16,0,0,0,1.0,-0.0625,-0.34194277613752483,0.44568186120867326
8192,middle,high4,16,0,0,0,1.0,-0.0625,-0.2617583144124832,0.2608891652375209
8192,middle,low16,16,0,0,0,1.0,-0.0625,-0.45183304069925206,0.476043270534514
8192,middle,mixed,16,0,0,0,1.0,-0.0625,-0.5082838294681876,0.304177480402099
32768,middle,competitor2,16,-0.0625,0,1,1.0,-0.0625,-0.13138705651739913,0.30700325537223505
32768,middle,conflict1,16,-0.0625,0,1,1.0,-0.0625,-0.27882397640015755,0.5066501890816133
32768,middle,high4,16,-0.0625,0,1,1.0,0,-0.2626315533734669,0.37265199345217426
32768,middle,low16,16,-0.0625,0,1,1.0,-0.0625,-0.39137817497274746,0.6142131998117942
32768,middle,mixed,16,-0.0625,0,1,1.0,-0.0625,-0.4748750439683655,0.6174433633162023
64000,middle,competitor2,16,0,0,0,1.0,0,-0.17129181910526575,0.37504942480778225
64000,middle,conflict1,16,0,0,0,1.0,0,-0.4082549540856104,0.5813801600405505
64000,middle,high4,16,0,0,0,1.0,0,-0.4002035793902386,0.6962170590541064
64000,middle,low16,16,0,0,0,1.0,0,-0.5274953760428096,0.7670187045478087
64000,middle,mixed,16,0,0,0,1.0,0,-0.42541753394341086,0.6762255517382333
