layer,head,representation,left_group,right_group,centroid_cosine,centroid_l2,left_centroid_norm,right_centroid_norm
0,0,key,score_top_1pct,score_top_90pct,0.9937774538993835,31.975229263305664,151.24179077148438,177.4783935546875
0,0,key,score_tail_10pct,score_top_1pct,0.9789569973945618,99.33576965332031,242.47869873046875,151.24179077148438
0,0,key,score_tail_10pct,score_top_90pct,0.9951370358467102,68.14395141601562,242.47869873046875,177.4783935546875
0,0,value,score_top_1pct,score_top_90pct,0.7499796748161316,0.18202604353427887,0.2674578130245209,0.1577473133802414
0,0,value,score_tail_10pct,score_top_1pct,-0.5840099453926086,0.53425133228302,0.3319501280784607,0.2674578130245209
0,0,value,score_tail_10pct,score_top_90pct,-0.11015711724758148,0.38289904594421387,0.3319501280784607,0.1577473133802414
0,0,weighted_value,score_top_1pct,score_top_90pct,0.0326991081237793,0.002357674762606621,0.0023543178103864193,0.00022444633941631764
0,0,weighted_value,score_tail_10pct,score_top_1pct,-0.2660793960094452,0.0023543538991361856,1.3551935751365818e-07,0.0023543178103864193
0,0,weighted_value,score_tail_10pct,score_top_90pct,0.09718376398086548,0.00022443322814069688,1.3551935751365818e-07,0.00022444633941631764
0,1,key,score_top_1pct,score_top_90pct,0.9970664978027344,20.301773071289062,158.83990478515625,174.63279724121094
0,1,key,score_tail_10pct,score_top_1pct,0.9873237013816833,84.77377319335938,237.76458740234375,158.83990478515625
0,1,key,score_tail_10pct,score_top_90pct,0.9955223202705383,66.01111602783203,237.76458740234375,174.63279724121094
0,1,value,score_top_1pct,score_top_90pct,0.7708196043968201,0.14032723009586334,0.22026801109313965,0.170942023396492
0,1,value,score_tail_10pct,score_top_1pct,-0.615919828414917,0.41971924901008606,0.24649997055530548,0.22026801109313965
0,1,value,score_tail_10pct,score_top_90pct,-0.14746737480163574,0.32001739740371704,0.24649997055530548,0.170942023396492
0,1,weighted_value,score_top_1pct,score_top_90pct,0.17118531465530396,0.00325447297655046,0.003302697092294693,0.0005067956517450511
0,1,weighted_value,score_tail_10pct,score_top_1pct,-0.02288801781833172,0.0033026975579559803,1.1707754765666323e-09,0.003302697092294693
0,1,weighted_value,score_tail_10pct,score_top_90pct,0.03766385465860367,0.0005067952442914248,1.1707754765666323e-09,0.0005067956517450511
0,2,key,score_top_1pct,score_top_90pct,0.9744260907173157,10.750422477722168,46.72164535522461,47.83954620361328
0,2,key,score_tail_10pct,score_top_1pct,0.9529610872268677,15.40886116027832,50.59842300415039,46.72164535522461
0,2,key,score_tail_10pct,score_top_90pct,0.9927799701690674,6.524170875549316,50.59842300415039,47.83954620361328
