layer,head,group,token_count,query_count,mean_selected_tokens_per_query,score_mean,score_std,score_min,score_p10,score_p25,score_p50,score_p75,score_p90,score_p99,score_max,weight_mean,weight_std,weight_min,weight_p10,weight_p25,weight_p50,weight_p75,weight_p90,weight_p99,weight_max,sampled_value_count
0,0,score_top_90pct,634573,128,4957.6015625,0.23692968468780046,2.644748275319997,-6.09375,-2.828125,-1.6484375,-0.1005859375,1.59375,3.21875,6.40625,12.3125,0.00020166956071444124,0.003094602060377095,8.440110832452774e-09,9.08970832824707e-07,3.0994415283203125e-06,1.2636184692382812e-05,5.626678466796875e-05,0.00023365020751953125,0.0032958984375,0.8671875,200000
0,1,score_top_90pct,634573,128,4957.6015625,-1.240297702221989,3.047711102072843,-9.3125,-5.375,-3.625,-1.4921875,0.71875,2.796875,6.53125,20.875,0.00020172330073023646,0.010333126868129703,3.943512183468556e-13,2.091837814077735e-10,2.5320332497358322e-09,5.9138983488082886e-08,1.214444637298584e-06,1.33514404296875e-05,0.0006561279296875,1.0,200000
0,2,score_top_90pct,634573,128,4957.6015625,6.250846133689505,3.666230990329601,-1.3671875,2.515625,3.84375,5.625,7.71875,9.9375,15.8125,38.0,0.00020172716073196524,0.00979006583340972,1.970645868709653e-15,7.275957614183426e-09,5.168840289115906e-08,3.1851232051849365e-07,2.086162567138672e-06,1.233816146850586e-05,0.0004177093505859375,0.984375,200000
0,3,score_top_90pct,634573,128,4957.6015625,17.81129507127726,5.983047413208145,-0.59765625,10.9375,14.5,18.0,21.625,24.875,30.75,47.5,0.00020173698314249655,0.013810060281325634,1.7208456881689926e-14,2.4584778657299466e-12,2.432898327242583e-11,4.2746250983327627e-10,9.022187441587448e-09,1.555308699607849e-07,1.811981201171875e-05,0.9921875,200000
0,4,score_top_90pct,634573,128,4957.6015625,-7.718182760173967,4.23255060109702,-18.625,-13.5,-10.625,-6.9375,-4.53125,-2.703125,0.7734375,10.4375,0.00020170810615912897,0.005700588964271241,9.379164112033322e-13,1.0695657692849636e-09,1.9674189388751984e-08,7.562339305877686e-07,9.775161743164062e-06,6.341934204101562e-05,0.0020904541015625,0.99609375,200000
0,5,score_top_90pct,634573,128,4957.6015625,-7.024364461294248,3.983171323308459,-19.375,-12.5625,-9.5625,-6.3125,-4.03125,-2.203125,1.1875,22.75,0.00020173188159063147,0.011012809295927599,3.382710778154774e-16,8.697043085703626e-12,3.0377123039215803e-10,1.210719347000122e-08,5.736947059631348e-07,1.0669231414794922e-05,0.0006142258644104004,1.0,200000
0,6,score_top_90pct,634573,128,4957.6015625,-1.9397920247650782,1.833990578248613,-6.3125,-4.40625,-3.40625,-1.953125,-0.5625,0.5703125,2.53125,5.75,0.0002016238206097603,0.0008115579694022477,2.0302832126617432e-07,2.9802322387695312e-06,8.58306884765625e-06,3.6716461181640625e-05,0.00014591217041015625,0.0004482269287109375,0.0029909610748291016,0.05322265625,200000
0,7,score_top_90pct,634573,128,4957.6015625,-0.5037702027537735,3.651109817799595,-10.5,-5.625,-3.453125,-0.8828125,1.6328125,3.984375,8.3125,24.75,0.00020175966608877927,0.012699756992713316,1.0325074129013956e-14,1.0089706847793423e-12,1.1482370609883219e-11,2.7284841053187847e-10,1.0244548320770264e-08,3.259629011154175e-07,4.1969120502471924e-05,1.0,200000
0,8,score_top_90pct,634573,128,4957.6015625,-0.07456658568589365,1.8834547265065233,-4.40625,-2.125,-1.25,-0.032470703125,1.328125,2.6875,5.46875,11.0625,0.00020160600298455188,0.0020048292492761354,2.644956111907959e-07,2.086162567138672e-06,4.887580871582031e-06,1.5854835510253906e-05,5.8650970458984375e-05,0.00021648406982421875,0.00323486328125,0.1982421875,200000
0,9,score_top_90pct,634573,128,4957.6015625,-1.0540297351312617,3.208168384948043,-10.4375,-5.65625,-3.609375,-1.2734375,1.0390625,3.203125,6.90625,25.25,0.00020172443886482574,0.011383861890623962,6.696032617270475e-16,1.716671249596402e-11,2.5647750589996576e-10,9.487848728895187e-09,4.5262277126312256e-07,7.033348083496094e-06,0.0004520416259765625,1.0,200000
