layer,head,representation,component,singular_value,energy_ratio
0,0,key,1,8043.1875,0.9146473092965822
0,0,key,2,1286.4027099609375,0.02339651475279353
0,0,key,3,806.801513671875,0.009203026740043732
0,0,key,4,736.4603881835938,0.0076682464150570435
0,0,key,5,658.4351806640625,0.006129475736129344
0,0,key,6,386.97772216796875,0.0021172356747367763
0,0,key,7,369.4510498046875,0.0019297945925429627
0,0,key,8,326.8206787109375,0.0015101369372811015
0,0,value,1,44.150733947753906,0.08398253576096977
0,0,value,2,38.015655517578125,0.062264154576685944
0,0,value,3,23.268291473388672,0.023326099255482537
0,0,value,4,21.91250991821289,0.020686993586406827
0,0,value,5,21.03325843811035,0.019060146949834
0,0,value,6,19.69098663330078,0.01670506166748015
0,0,value,7,19.337818145751953,0.016111206793051575
0,0,value,8,19.16546630859375,0.01582529845349085
0,0,weighted_value,1,1.5441815853118896,0.3565616627466303
0,0,weighted_value,2,1.021321415901184,0.15597779816956273
0,0,weighted_value,3,0.7358031272888184,0.08095826023818707
0,0,weighted_value,4,0.7085707783699036,0.07507656327790063
0,0,weighted_value,5,0.6132580637931824,0.05623729759838316
0,0,weighted_value,6,0.5764034390449524,0.04968108074482884
0,0,weighted_value,7,0.5067674517631531,0.0384021319330856
0,0,weighted_value,8,0.36370423436164856,0.019780379641673854
0,1,key,1,7748.6923828125,0.908501032745318
0,1,key,2,1289.77197265625,0.02517065144620289
0,1,key,3,801.56396484375,0.009721761326955791
0,1,key,4,744.7359008789062,0.008392148598517038
0,1,key,5,658.6060180664062,0.006563265528650875
0,1,key,6,392.6204528808594,0.002332461180885921
0,1,key,7,381.35504150390625,0.002200531397052022
0,1,key,8,328.93646240234375,0.0016371656351503662
0,1,value,1,43.22687911987305,0.08018613426984157
0,1,value,2,29.99176597595215,0.03860073648998494
0,1,value,3,22.387744903564453,0.021508603471409794
0,1,value,4,21.010496139526367,0.018943670427405582
0,1,value,5,20.21921157836914,0.017543649711428324
0,1,value,6,19.52927017211914,0.016366791158366246
0,1,value,7,18.86171531677246,0.015267006307392384
0,1,value,8,18.737712860107422,0.01506692660027501
0,1,weighted_value,1,3.6618077754974365,0.11299477410985355
0,1,weighted_value,2,2.8929061889648438,0.07052384372821306
0,1,weighted_value,3,2.6178905963897705,0.057752429607639724
0,1,weighted_value,4,2.4542269706726074,0.05075709081319582
0,1,weighted_value,5,2.4041411876678467,0.048706532318383525
0,1,weighted_value,6,2.299959182739258,0.04457666058153277
0,1,weighted_value,7,2.179217576980591,0.04001920524021537
0,1,weighted_value,8,2.072669506072998,0.03620156863007127
0,2,key,1,2503.8076171875,0.5068237996353022
0,2,key,2,887.79931640625,0.06372131070790336
0,2,key,3,880.1723022460938,0.06263116404551375
0,2,key,4,779.9174194335938,0.04917590131950588
0,2,key,5,748.2901000976562,0.04526839396849654
0,2,key,6,504.7378845214844,0.020596190216775775
0,2,key,7,493.00567626953125,0.01964983586241687
0,2,key,8,487.03106689453125,0.019176459070374217
0,2,value,1,74.62116241455078,0.09375824434490085
0,2,value,2,63.16545867919922,0.06718073557651869
0,2,value,3,57.28261947631836,0.0552498604785096
0,2,value,4,54.49745559692383,0.05000781725523034
0,2,value,5,45.588462829589844,0.034994141526228074
0,2,value,6,42.94911193847656,0.031059454441590365
0,2,value,7,40.90790939331055,0.028177341606641815
0,2,value,8,39.393836975097656,0.02613015663530601
0,2,weighted_value,1,5.891507625579834,0.16994065178403192
0,2,weighted_value,2,4.887696743011475,0.11696418415312575
0,2,weighted_value,3,3.7579896450042725,0.06914416709011105
0,2,weighted_value,4,3.270528554916382,0.052369723618791005
0,2,weighted_value,5,2.961510181427002,0.042940871209837396
0,2,weighted_value,6,2.8507773876190186,0.039789730894682594
0,2,weighted_value,7,2.753737449645996,0.037126965373693685
0,2,weighted_value,8,2.6171152591705322,0.03353436527221857
0,3,key,1,2491.66162109375,0.5057520611752948
0,3,key,2,887.0480346679688,0.06409937747796153
0,3,key,3,871.3306274414062,0.06184797652154942
0,3,key,4,774.1860961914062,0.04882590149514362
0,3,key,5,727.638916015625,0.043131183200504956
0,3,key,6,513.1305541992188,0.021449406824500156
0,3,key,7,494.6654968261719,0.019933463903350816
0,3,key,8,490.0393371582031,0.01956236794568083
0,3,value,1,75.90223693847656,0.09683741679611312
0,3,value,2,62.10871505737305,0.06483942188561649
0,3,value,3,57.4889030456543,0.055552305689561085
0,3,value,4,55.479896545410156,0.051737487005038205
0,3,value,5,47.508548736572266,0.03793827439305648
0,3,value,6,44.045623779296875,0.032609157244865794
0,3,value,7,40.97547912597656,0.028221632105980363
0,3,value,8,39.82027053833008,0.026652776518389956
0,3,weighted_value,1,7.828650951385498,0.1588850906851262
0,3,weighted_value,2,6.074712753295898,0.0956666970333113
0,3,weighted_value,3,5.2081732749938965,0.07032020619939819
0,3,weighted_value,4,4.644142150878906,0.055913965611211085
0,3,weighted_value,5,4.200766086578369,0.045747386095123965
0,3,weighted_value,6,3.8774397373199463,0.038976191437123116
0,3,weighted_value,7,3.7503509521484375,0.0364630595433611
0,3,weighted_value,8,3.4748189449310303,0.03130211246220896
0,4,key,1,10376.9296875,0.9128753221775275
0,4,key,2,1846.5380859375,0.028906150411904672
0,4,key,3,1073.8521728515625,0.009776034360132144
0,4,key,4,1069.824462890625,0.009702837713948009
0,4,key,5,919.3290405273438,0.007164991462336857
0,4,key,6,627.2423706054688,0.003335373653642474
0,4,key,7,615.1109008789062,0.00320760266782474
0,4,key,8,412.4447021484375,0.0014421325449618253
0,4,value,1,72.05667114257812,0.1841997097544682
0,4,value,2,26.868762969970703,0.02561155197766645
0,4,value,3,24.921850204467773,0.022034394187672557
0,4,value,4,23.210296630859375,0.01911181503244926
0,4,value,5,22.870525360107422,0.018556361895501954
0,4,value,6,22.148780822753906,0.017403644478973
0,4,value,7,21.54061508178711,0.016461020369326652
0,4,value,8,21.150930404663086,0.015870825053772197
0,4,weighted_value,1,2.3182427883148193,0.19426627654848735
0,4,weighted_value,2,1.8205288648605347,0.1198049382599679
0,4,weighted_value,3,1.6940306425094604,0.10373423415363929
0,4,weighted_value,4,1.6525417566299438,0.09871529906413655
0,4,weighted_value,5,1.4931753873825073,0.08059372455349535
0,4,weighted_value,6,1.3922659158706665,0.07006868450102574
0,4,weighted_value,7,1.2456430196762085,0.05608758990688595
0,4,weighted_value,8,1.1826483011245728,0.05055810713969776
0,5,key,1,10311.037109375,0.9064706677411482
0,5,key,2,1872.1533203125,0.029883528850604153
0,5,key,3,1159.8642578125,0.011469999174598884
0,5,key,4,1094.0950927734375,0.010206085351985604
0,5,key,5,974.0808715820312,0.00808982423041455
0,5,key,6,643.8936157226562,0.003534901313161881
0,5,key,7,629.275634765625,0.0033762211682282247
0,5,key,8,427.62945556640625,0.0015591370078232264
0,5,value,1,71.46460723876953,0.172305155205512
0,5,value,2,27.387453079223633,0.025305769151571643
0,5,value,3,25.74036407470703,0.02235350448096866
0,5,value,4,23.95775604248047,0.01936459977136057
0,5,value,5,23.60321807861328,0.018795707889857766
0,5,value,6,22.463138580322266,0.017023824036620654
0,5,value,7,21.872455596923828,0.016140290087132716
0,5,value,8,21.57263946533203,0.01570083752887082
0,5,weighted_value,1,4.192150592803955,0.10690518261714588
0,5,weighted_value,2,3.095628499984741,0.05829384232880318
0,5,weighted_value,3,2.989588499069214,0.05436856087921937
0,5,weighted_value,4,2.8065128326416016,0.04791362990489607
0,5,weighted_value,5,2.7153756618499756,0.04485231374331052
0,5,weighted_value,6,2.63511323928833,0.042239967485622025
0,5,weighted_value,7,2.633828639984131,0.04219879414551823
0,5,weighted_value,8,2.493514060974121,0.03782236247092341
0,6,key,1,10632.9375,0.9097198140358851
