path,output,map_name,stage,row_count,num_layers,all_same_layers,mixed_layers,full_only_layers,landmark_mixed_layers,total_group_forwards,avg_groups_per_layer,max_groups_per_layer,group_count_hist,group_type_hist,mixed_layers_list
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_0_extension_4.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_0_extension_4.json,extension,4,28,24,4,24,4,32,1.1428571428571428,2,1:24;2:4,full:24;full+landmark:4,"0,2,6,7"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_0_initial_8.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_0_initial_8.json,initial,8,28,22,6,22,6,34,1.2142857142857142,2,1:22;2:6,full:22;full+landmark:6,"0,2,6,7,12,13"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_1_extension_5.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_1_extension_5.json,extension,5,28,22,6,22,6,34,1.2142857142857142,2,1:22;2:6,full:22;full+landmark:6,"0,2,6,7,12,13"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_1_initial_8.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_1_initial_8.json,initial,8,28,22,6,22,6,34,1.2142857142857142,2,1:22;2:6,full:22;full+landmark:6,"0,2,6,7,12,13"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_2_extension_2.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_2_extension_2.json,extension,2,28,26,2,25,2,30,1.0714285714285714,2,1:26;2:2,full:25;full+landmark:2;landmark:1,"2,6"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_2_initial_8.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_2_initial_8.json,initial,8,28,22,6,22,6,34,1.2142857142857142,2,1:22;2:6,full:22;full+landmark:6,"0,2,6,7,12,13"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_3_extension_5.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_3_extension_5.json,extension,5,28,23,5,23,5,33,1.1785714285714286,2,1:23;2:5,full:23;full+landmark:5,"0,2,6,7,13"
outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager/batch_maps/block_3_initial_8.json,server_pcic_hardtopic_b4_horizongate_condautoanchor_batched_optdispatch_eval128_seed64_eager,block_3_initial_8.json,initial,8,28,22,6,22,6,34,1.2142857142857142,2,1:22;2:6,full:22;full+landmark:6,"0,2,6,7,12,13"
outputs/server_pcic_war_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_0_initial_4.json,server_pcic_war_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_0_initial_4.json,initial,4,28,24,4,24,4,32,1.1428571428571428,2,1:24;2:4,full:24;full+landmark:4,"0,6,7,13"
outputs/server_pcic_war_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_1_initial_4.json,server_pcic_war_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_1_initial_4.json,initial,4,28,24,4,24,4,32,1.1428571428571428,2,1:24;2:4,full:24;full+landmark:4,"0,6,7,13"
outputs/server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_0_extension_2.json,server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_0_extension_2.json,extension,2,28,26,2,25,2,30,1.0714285714285714,2,1:26;2:2,full:25;full+landmark:2;landmark:1,"0,7"
outputs/server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_0_initial_4.json,server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_0_initial_4.json,initial,4,28,23,5,23,5,33,1.1785714285714286,2,1:23;2:5,full:23;full+landmark:5,"0,2,7,12,13"
outputs/server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_1_extension_3.json,server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_1_extension_3.json,extension,3,28,24,4,24,4,32,1.1428571428571428,2,1:24;2:4,full:24;full+landmark:4,"0,2,7,13"
outputs/server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager/batch_maps/block_1_initial_4.json,server_pcic_monte_b2_horizongate_condautoanchor_batched_optdispatch_seed64_eager,block_1_initial_4.json,initial,4,28,23,5,23,5,33,1.1785714285714286,2,1:23;2:5,full:23;full+landmark:5,"0,2,7,12,13"
