source,case_id,label,blocks,avg_delta_ppl,unique_final_combos,combo_switches,extended,early,initial_final_changes,no_change_extensions,extension_seconds,avoidable_extension_seconds,avoidable_extension_fraction,final_trace,initial_trace
hardtopic_b8_blocks,b4_top2,Hard-topic b4 top2,4,0.004371250000000001,4,3,1,3,0,0,0.0,0,0.0,"0,7/2,0,7,12/0,6/0,13","0,7/2,0,7,12/0,6/0,13"
hardtopic_b8_blocks,b4_cond_auto_anchor,Hard-topic b4 conditional rescue,4,-0.049632499999999996,2,2,4,0,2,0,0.0,0,0.0,"0,6/2,0,7,12/0,6/0,6","0,7/2,0,7,12/0,6/0,13"
hardtopic_b8_blocks,b8_top2,Hard-topic b8 top2,8,0.006074375,5,7,5,3,3,0,0.0,0,0.0,"0,7/2,0,7,12/0,6/0,13/2,0,7,12/0,13/7,13/0,13","0,7/2,0,7,12/0,6/0,13/2,0,7,12/0,7/2,7/2,0"
hardtopic_b8_blocks,b8_cond_auto_anchor,Hard-topic b8 conditional rescue,8,-0.040597625,4,6,8,0,5,0,0.0,0,0.0,"0,6/2,0,7,12/0,6/0,6/7,13/0,6/7,13/2,0","0,7/2,0,7,12/0,6/0,13/2,0,7,12/0,13/7,13/0,13"
needle_blocks,needle_top2,Needle-style top2,4,0.00011825,2,1,4,0,1,0,0.0,0,0.0,"2,0,7,12/2,0/2,0/2,0","2,0/2,0/2,0/2,0"
needle_blocks,needle_cond_auto_anchor,Needle-style conditional rescue,4,-0.0001655,2,2,4,0,2,0,0.0,0,0.0,"2,0/2,0/2,0,7,12/2,0","0,13/2,0/2,0/2,0"
extension_waste_blocks,hard,Hard-topic conditional rescue,4,-0.04963256962535256,2,2,4,0,2,2,35.75813880003989,15.621618838049471,0.4368689020814485,"0,6/2,0,7,12/0,6/0,6","0,7/2,0,7,12/0,6/0,13"
extension_waste_blocks,war,War easy regime,2,-2.1353107652764862,1,0,0,2,0,0,0.0,0,0.0,"0,7/0,7","0,7/0,7"
extension_waste_blocks,monte,Monte online selection,2,-0.21921516148621478,2,1,2,0,1,1,5.531878104899079,2.210881700972095,0.39966204226628194,"2,7/2,0","2,7/7,13"
extension_waste_blocks,needle,Needle-style conditional rescue,4,-0.00016552568177813365,2,2,4,0,2,2,28.798039032379165,13.313825907418504,0.4623171005653914,"2,0/2,0/2,0,7,12/2,0","0,13/2,0/2,0/2,0"
extension_waste_blocks,ruler_multineedle,RULER-style multi-needle,3,7.392180945253735e-05,1,0,3,0,2,1,13.248703607358038,4.9720651388634,0.37528691758958393,"2,0/2,0/2,0","2,0/0,6/2,0,7,12"
extension_waste_blocks,ruler_variable,RULER-style variable binding,3,-0.000564053907284201,2,1,3,0,2,1,11.536857063649222,4.95043985103257,0.4290977883942593,"0,13/2,0/2,0","2,0/2,0,7,12/2,0"
extension_waste_blocks,ruler_topicswitch,RULER-style topic switch,3,0.00013947970591599024,2,1,3,0,1,2,9.899909275118262,6.619698556140065,0.668662547522284,"0,13/2,0/2,0","2,0/2,0/2,0"
