case_id,task,mode,blocks,avg_delta_ppl,old_gate_s,corrected_gate_s,corrected_initial_gate_s,corrected_extension_gate_s,old_method_ratio,corrected_method_ratio,extended,skipped,combos
hard_top2,hard,top2,4,0.004371199895214728,27.084729248890653,32.53019593888894,30.373059382895008,2.1571365559939295,2.647836951537057,2.971783291715732,1,0,"0,7/2,0,7,12/0,6/0,13"
hard_cond,hard,cond,4,-0.04963256962535256,53.64761170279235,89.6236840065103,62.83429291844368,26.789391088066623,4.144195806438005,6.226846438549734,4,0,"0,6/2,0,7,12/0,6/0,6"
hard_b8_top2,hard_b8,top2,8,0.0060743639489239665,49.73729012836702,75.19689994538203,61.941354155307636,13.255545790074393,2.5124908911984742,3.2630796362944867,5,0,"0,7/2,0,7,12/0,6/0,13/2,0,7,12/0,13/7,13/0,13"
hard_b8_cond,hard_b8,cond,8,-0.04059769919923356,107.64305059728213,179.67701852414757,125.8592918140348,53.817726710112765,4.160543442025022,6.247903224889966,8,0,"0,6/2,0,7,12/0,6/0,6/7,13/0,6/7,13/2,0"
war_top2,war,top2,2,-2.1353107652764862,6.5436484010424465,6.5436484010424465,6.5436484010424465,0.0,2.5955633509292877,2.5955633509292877,0,0,"0,7/0,7"
war_cond,war,cond,2,-2.1353107652764862,6.65858160587959,6.65858160587959,6.65858160587959,0.0,2.6025445173945294,2.6025445173945294,0,0,"0,7/0,7"
monte_top2,monte,top2,2,-0.21921516148621478,6.573191084899008,9.913190372055396,6.623297841055319,3.2898925310000777,2.5957511980460954,3.387939046654234,2,0,"2,7/2,0"
monte_cond,monte,cond,2,-0.21921516148621478,6.64085155306384,10.011165463132784,6.688175970921293,3.322989492211491,2.5999995909989617,3.392202434358002,2,0,"2,7/2,0"
needle_top2,needle,top2,4,0.0001183444650292853,13.205811817897484,37.262845647055656,30.652524714823812,6.6103209322318435,1.8312124365379732,3.2621498780648506,4,0,"2,0,7,12/2,0/2,0/2,0"
needle_cond,needle,cond,4,-0.00016552568177813365,39.9085866746027,81.70528264320455,61.74487555446103,19.960407088743523,3.400906494427534,5.869179296896664,4,0,"2,0/2,0/2,0,7,12/2,0"
ruler_multineedle_top2,ruler_multineedle,top2,3,7.392180945253735e-05,11.080513174412772,28.577094533480704,23.033151660347357,5.543942873133346,2.206329359703238,4.051127283704315,3,0,"2,0/2,0/2,0"
ruler_multineedle_cond,ruler_multineedle,cond,3,7.392180945253735e-05,16.649830147856846,42.86829961743206,34.53748428984545,8.330815327586606,2.78090136102897,5.5339714371134505,3,0,"2,0/2,0/2,0"
ruler_variable_top2,ruler_variable,top2,3,0.01739717332516581,11.857478573918343,24.768170828698203,22.62324810680002,2.1449227218981832,2.3152421833759247,3.6985459145383945,2,0,"2,0/2,0,7,12/2,0"
ruler_variable_cond,ruler_variable,cond,3,-0.000564053907284201,13.249248499749228,41.10340541950427,34.476584310643375,6.626821108860895,2.440723401525069,5.387566434875273,3,0,"0,13/2,0/2,0"
ruler_topicswitch_top2,ruler_topicswitch,top2,3,0.0003017116126902142,6.529825105797499,26.03147533815354,22.766734219156206,3.2647411189973354,1.7305023557299954,3.8087520334751,3,0,"2,0/2,0/2,0"
ruler_topicswitch_cond,ruler_topicswitch,cond,3,0.00013947970591599024,9.930737278191373,39.542795130982995,34.57429670286365,4.9684984281193465,2.086483274642875,5.208995177759647,3,0,"0,13/2,0/2,0"
