case_id,task,path,block,final_combo,initial_combo,initial_route,extended,early,anchor_hit,no_change_after_extension,extension_seconds,initial_seconds,gate_seconds,initial_margin,initial_pairwise_delta,horizon_gain,horizon_gain_ratio,delta_ppl
hard,hard,outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,0,"0,6","0,7",horizon_gate_best,1,0,0,0,9.003308461746201,18.083052990026772,13.515881713712588,0.005815081544909617,0.015286702777729921,0.0238716493488631,1.1888326635272195,-0.07954938112365006
hard,hard,outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,1,"2,0,7,12","2,0,7,12",horizon_gate_best,1,0,0,1,11.17549879103899,17.99279540614225,17.888411049032584,0.003273628818906693,0.012753069791596516,0.0230528947769848,1.0,-0.06883522484292826
hard,hard,outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,2,"0,6","0,6",horizon_gate_best,1,0,1,1,4.446120047010481,17.87477851449512,4.448170504067093,0.005273033083529999,0.005273033083529999,0.008532217444541468,1.0,-0.014303764343899239
hard,hard,outputs/server_pcic_hardtopic_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,3,"0,6","0,13",horizon_gate_best,1,0,0,0,11.133211500244215,17.854871820891276,17.79514843598008,0.010090407448593908,0.010057009565414887,0.027307395706040793,3.5251567953660414,-0.03584190819093269
war,war,outputs/server_pcic_war_b2_horizongate_condautoanchor_seed64_eager/pcic_r_blockwise_results.csv,0,"0,7","0,7",horizon_gate_best,0,1,1,1,0,4.434001215966418,3.3255745358765125,0.014436501649811362,0.0928825431842597,0.10731904483407106,7.433867805187649,-1.3101866277743497
war,war,outputs/server_pcic_war_b2_horizongate_condautoanchor_seed64_eager/pcic_r_blockwise_results.csv,1,"0,7","0,7",horizon_gate_best,0,1,1,1,0,4.448261732934043,3.3330070700030774,0.03892745390476193,-0.06817748385219602,0.03892745390476193,1.0,-2.9604349027786228
monte,monte,outputs/server_pcic_monte_b2_horizongate_condautoanchor_seed64_eager/pcic_r_blockwise_results.csv,0,"2,7","2,7",horizon_gate_best,1,0,0,1,2.210881700972095,4.4459539980161935,2.210295997094363,0.0022547752432728885,0.0022547752432728885,0.021595083465967946,1.0,-0.4627989161303887
monte,monte,outputs/server_pcic_monte_b2_horizongate_condautoanchor_seed64_eager/pcic_r_blockwise_results.csv,1,"2,0","7,13",horizon_gate_best,1,0,0,0,3.3209964039269835,4.4538089169654995,4.430555555969477,0.0058938015972671565,0.015469752590433927,0.0,0.0,0.02436859315795914
needle,needle,outputs/server_pcic_needle_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,0,"2,0","0,13",horizon_gate_best,1,0,0,0,8.825440407032147,17.59850277309306,13.262216984061524,0.0001193136506927317,2.0213696013904325e-05,0.0,0.0,-0.00015346521860237772
needle,needle,outputs/server_pcic_needle_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,1,"2,0","2,0",horizon_gate_best,1,0,1,1,6.6549102396238595,17.62911192001775,8.897130269790068,4.6518589959188006e-05,-7.628476209342594e-05,0.0,0.0,-1.5208043044667718e-05
needle,needle,outputs/server_pcic_needle_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,2,"2,0,7,12","2,0",horizon_gate_best,1,0,1,0,6.658772717928514,17.659131375839934,8.813168404856697,2.023378420501487e-05,-0.00015579425569223204,0.0005465572491984982,0.10931144983969965,-0.0004728364714754463
needle,needle,outputs/server_pcic_needle_b4_horizongate_condautoanchor_eval128_seed64_eager/pcic_r_blockwise_results.csv,3,"2,0","2,0",horizon_gate_best,1,0,1,1,6.658915667794645,17.70143444952555,8.936071015894413,0.0009146705973694935,-0.010064322194590414,0.0,0.0,-2.0592993990042885e-05
