task,base_task,requested_length,sample_id,method,executed_path,configured_sampled_quantile_sample_count,configured_index_bits_per_token,index_build_seconds,qk_prebuild_seconds,qk_prebuild_layers,qk_batched_allocation_layers,packed_qmse_sample_count,packed_qmse_value_sketch_rank,packed_qmse_value_sketch_bits,packed_qmse_value_sketch_executed,packed_qmse_value_sketch_tail_alpha,packed_qmse_debug_value_sketch_disabled,sampled_candidate_overflow_fraction,sampled_quantile_fallback,metric,score,prediction,answers,prompt_tokens,prefix_tokens,suffix_tokens,generated_tokens,configured_attention_fraction,configured_attention_tokens,configured_candidate_fraction,configured_projection_dim,configured_score_mode,attention_link_ratio,exact_qk_ratio,estimated_retained_mass,temporal_reuse_rate,gpu_kv_storage_ratio,scan_dimension_fraction,diagnostics_enabled,prefill_seconds,query_seconds,decode_seconds,online_seconds,total_seconds
cwe_4096,cwe,4096,cwe_4096_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **inside** (24 occurrences)\n2. **cupola** (23 occurrences)\n3. **talent** (22 occurrences)\n4. **battalion** (20 occurrences)\n5. **grenade** (19 occurrences)\n6. **bare** (18 occurrences)\n7. **salon** (17 occurrences)\n8. **calcification** (16 occurrences)\n9. **neck** (15 occurrences)\n10. **bounce** (","[""cupola"", ""bare"", ""neck"", ""talent"", ""grenade"", ""battalion"", ""inside"", ""bounce"", ""calcification"", ""salon""]",2778,2741,37,120,1.0,2741,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,0.8039001682773232,0.042346516624093056,3.708873899653554,3.751220416277647,4.55512058455497
cwe_4096,cwe,4096,cwe_4096_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.24748390540480614,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **inside** (34 occurrences)\n2. **talent** (32 occurrences)\n3. **cupola** (29 occurrences)\n4. **battalion** (28 occurrences)\n5. **grenade** (27 occurrences)\n6. **bare** (26 occurrences)\n7. **salon** (25 occurrences)\n8. **calcification** (24 occurrences)\n9. **neck** (23 occurrences)\n10. **bounce** (","[""cupola"", ""bare"", ""neck"", ""talent"", ""grenade"", ""battalion"", ""inside"", ""bounce"", ""calcification"", ""salon""]",2778,2741,37,120,0.09339657059467348,256,0.09339657059467348,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.09318475873011348,0.0,0.0,0.0,1.0,0.0,True,0.8083920534700155,0.2894679782912135,6.48514046985656,6.774608448147774,7.583000501617789
cwe_4096,cwe,4096,cwe_4096_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **open** (34 occurrences)\n2. **mystery** (24 occurrences)\n3. **futon** (23 occurrences)\n4. **disprove** (22 occurrences)\n5. **cabana** (21 occurrences)\n6. **damage** (20 occurrences)\n7. **harmonize** (19 occurrences)\n8. **right** (18 occurrences)\n9. **chutney** (17 occurrences)\n10. **exclusive","[""exclusive"", ""open"", ""damage"", ""futon"", ""mystery"", ""right"", ""cabana"", ""chutney"", ""harmonize"", ""disprove""]",2940,2903,37,120,1.0,2903,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,1.2142244316637516,0.050077577121555805,4.966019514016807,5.016097091138363,6.2303215228021145
cwe_4096,cwe,4096,cwe_4096_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.25771589018404484,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **open** (34 occurrences)\n2. **mystery** (32 occurrences)\n3. **futon** (31 occurrences)\n4. **disprove** (29 occurrences)\n5. **cabana** (28 occurrences)\n6. **damage** (27 occurrences)\n7. **right** (26 occurrences)\n8. **harmonize** (25 occurrences)\n9. **chutney** (24 occurrences)\n10. **exclusive","[""exclusive"", ""open"", ""damage"", ""futon"", ""mystery"", ""right"", ""cabana"", ""chutney"", ""harmonize"", ""disprove""]",2940,2903,37,120,0.08818463658284534,256,0.08818463658284534,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.0873789682126185,0.0,0.0,0.0,1.0,0.0,True,1.1327037904411554,0.3108418807387352,6.592254646122456,6.903096526861191,8.035800317302346
cwe_4096,cwe,4096,cwe_4096_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **passage** (24 occurrences)\n2. **ego** (23 occurrences)\n3. **flock** (22 occurrences)\n4. **place** (21 occurrences)\n5. **administration** (19 occurrences)\n6. **raiment** (18 occurrences)\n7. **dad** (17 occurrences)\n8. **grit** (16 occurrences)\n9. **shadowbox** (15 occurrences)\n10. **naive** (14","[""flock"", ""shadowbox"", ""administration"", ""raiment"", ""naive"", ""dad"", ""ego"", ""grit"", ""place"", ""passage""]",2820,2783,37,120,1.0,2783,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,0.7933004023507237,0.04205816052854061,3.7609859192743897,3.8030440798029304,4.596344482153654
cwe_4096,cwe,4096,cwe_4096_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.24783842358738184,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **passage** (34 occurrences)\n2. **ego** (34 occurrences)\n3. **flock** (32 occurrences)\n4. **administration** (28 occurrences)\n5. **place** (27 occurrences)\n6. **raiment** (26 occurrences)\n7. **dad** (25 occurrences)\n8. **grit** (24 occurrences)\n9. **shadowbox** (23 occurrences)\n10. **naive** (23","[""flock"", ""shadowbox"", ""administration"", ""raiment"", ""naive"", ""dad"", ""ego"", ""grit"", ""place"", ""passage""]",2820,2783,37,120,0.09198706431908013,256,0.09198706431908013,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.09122044256657161,0.0,0.0,0.0,1.0,0.0,True,0.797433097846806,0.28961002733558416,6.568502798676491,6.858112826012075,7.655545923858881
cwe_4096,cwe,4096,cwe_4096_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.9,1. **beancurd** (24 times)\n2. **philanthropy** (23 times)\n3. **sweatsuit** (22 times)\n4. **marble** (21 times)\n5. **coincidence** (17 times)\n6. **camel** (16 times)\n7. **finicky** (16 times)\n8. **whistle** (16 times)\n9. **perennial** (15 times)\n10. **sack** (4 times),"[""coincidence"", ""beancurd"", ""swordfight"", ""sweatsuit"", ""camel"", ""whistle"", ""philanthropy"", ""marble"", ""perennial"", ""finicky""]",2937,2900,37,104,1.0,2900,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,1.0247055971994996,0.049630516208708286,3.503249855712056,3.5528803719207644,4.577585969120264
cwe_4096,cwe,4096,cwe_4096_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.2472729105502367,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.9,1. **philanthropy** (24 times)\n2. **beancurd** (23 times)\n3. **sweatsuit** (22 times)\n4. **marble** (21 times)\n5. **coincidence** (17 times)\n6. **camel** (16 times)\n7. **finicky** (16 times)\n8. **whistle** (16 times)\n9. **perennial** (15 times)\n10. **sack** (4 times),"[""coincidence"", ""beancurd"", ""swordfight"", ""sweatsuit"", ""camel"", ""whistle"", ""philanthropy"", ""marble"", ""perennial"", ""finicky""]",2937,2900,37,104,0.08827586206896551,256,0.08827586206896551,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.08724676187605372,0.0,0.0,0.0,1.0,0.0,True,1.0708849932998419,0.2977508008480072,5.732520873658359,6.030271674506366,7.101156667806208
cwe_4096,cwe,4096,cwe_4096_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.9,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the top 10 most common words:\n\n1. **translate** (34 occurrences)\n2. **swimming** (32 occurrences)\n3. **allowance** (28 occurrences)\n4. **sentencing** (26 occurrences)\n5. **grand** (24 occurrences)\n6. **brooch** (23 occurrences)\n7. **x-ray** (22 occurrences)\n8. **slow** (20 occurrences)\n9. **enjoy** (19 occurrences)\n10.","[""grand"", ""translate"", ""sentencing"", ""brooch"", ""enjoy"", ""x-ray"", ""swimming"", ""slow"", ""allowance"", ""transformation""]",2784,2747,37,120,1.0,2747,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,0.8785967724397779,0.04288083966821432,3.773683039471507,3.8165638791397214,4.695160651579499
cwe_4096,cwe,4096,cwe_4096_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.24689830001443624,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.9,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **translate** (34 occurrences)\n2. **swimming** (32 occurrences)\n3. **allowance** (31 occurrences)\n4. **grand** (29 occurrences)\n5. **sentencing** (28 occurrences)\n6. **brooch** (26 occurrences)\n7. **x-ray** (25 occurrences)\n8. **slow** (24 occurrences)\n9. **enjoy** (23 occurrences)\n10. **pharmacopoe","[""grand"", ""translate"", ""sentencing"", ""brooch"", ""enjoy"", ""x-ray"", ""swimming"", ""slow"", ""allowance"", ""transformation""]",2784,2747,37,120,0.09319257371678194,256,0.09319257371678194,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.09322027826805186,0.0,0.0,0.0,1.0,0.0,True,1.0214239628985524,0.2905104551464319,6.528432197868824,6.818942653015256,7.840366615913808
cwe_4096,cwe,4096,cwe_4096_5,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **righteous** (24 occurrences)\n2. **catalog** (23 occurrences)\n3. **hyena** (20 occurrences)\n4. **clothes** (19 occurrences)\n5. **fiesta** (18 occurrences)\n6. **expectation** (17 occurrences)\n7. **nationality** (16 occurrences)\n8. **sit** (15 occurrences)\n9. **shiver** (14 occurrences)\n10. **elegant**","[""shiver"", ""fiesta"", ""expectation"", ""sit"", ""elegant"", ""righteous"", ""hyena"", ""clothes"", ""catalog"", ""nationality""]",2790,2753,37,120,1.0,2753,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,0.9763844795525074,0.049082715064287186,3.997858620248735,4.046941335313022,5.0233258148655295
cwe_4096,cwe,4096,cwe_4096_5,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,768,306.0,0.0,0.2490673791617155,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **righteous** (34 occurrences)\n2. **catalog** (33 occurrences)\n3. **clothes** (32 occurrences)\n4. **hyena** (24 occurrences)\n5. **fiesta** (23 occurrences)\n6. **expectation** (22 occurrences)\n7. **nationality** (21 occurrences)\n8. **sit** (20 occurrences)\n9. **shiver** (19 occurrences)\n10. **elegant**","[""shiver"", ""fiesta"", ""expectation"", ""sit"", ""elegant"", ""righteous"", ""hyena"", ""clothes"", ""catalog"", ""nationality""]",2790,2753,37,120,0.0929894660370505,256,0.0929894660370505,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.09317695137022868,0.0,0.0,0.0,1.0,0.0,True,1.0073163267225027,0.29813510552048683,6.475459155626595,6.773594261147082,7.780910587869585
cwe_4096,cwe,4096,cwe_4096_6,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"To determine the 10 most common words in the list, I'll count the frequency of each word. Here are the results:\n\n1. **xylophone** (24 occurrences)\n2. **stay** (24 occurrences)\n3. **minimum** (23 occurrences)\n4. **selective** (20 occurrences)\n5. **amendment** (19 occurrences)\n6. **ambulance** (18 occurrences)\n7. **spiffy** (17 occurrences)\n8. **reasoning** (16 occurrences)\n9. **burrow** (15 occurrences)\n10. **scientific","[""selective"", ""scientific"", ""ambulance"", ""reasoning"", ""burrow"", ""amendment"", ""xylophone"", ""minimum"", ""stay"", ""spiffy""]",2871,2834,37,120,1.0,2834,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,0.9916790006682277,0.050327529199421406,3.8301751408725977,3.880502670072019,4.872181670740247
