task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,1,0.0,15342.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.004380981437862,1.0
cwe_32768,full_kv,2,0.0,31452.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12.7113011428155,1.0
cwe_4096,full_kv,1,1.0,2871.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.880502670072019,1.0
cwe_8192,full_kv,1,0.9,7014.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.1511709885671735,1.0
fwe_16384,full_kv,1,1.0,16205.0,33.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.245016559958458,1.0
fwe_32768,full_kv,2,0.8333333333333333,31788.0,33.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.623542266432196,1.0
fwe_4096,full_kv,1,0.6666666666666666,4015.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1117157442495227,1.0
fwe_8192,full_kv,1,0.6666666666666666,8032.0,35.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.540824525989592,1.0
niah_multikey_1_16384,full_kv,1,1.0,16029.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4878210090100765,1.0
niah_multikey_1_32768,full_kv,2,1.0,32196.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8751139924861491,1.0
niah_multikey_1_4096,full_kv,1,1.0,3755.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.21527090296149254,1.0
niah_multikey_1_8192,full_kv,1,1.0,7441.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.28815239015966654,1.0
niah_multikey_2_16384,full_kv,1,1.0,16134.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5508765652775764,1.0
niah_multikey_2_32768,full_kv,2,1.0,32588.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8967437888495624,1.0
niah_multikey_2_4096,full_kv,1,1.0,3654.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.21043985150754452,1.0
niah_multikey_2_8192,full_kv,1,1.0,7669.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3785201655700803,1.0
niah_multikey_3_16384,full_kv,1,1.0,16083.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.029192319139838,1.0
niah_multikey_3_32768,full_kv,2,1.0,32062.5,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.8784764828160405,1.0
niah_multikey_3_4096,full_kv,1,1.0,3060.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.704903614707291,1.0
niah_multikey_3_8192,full_kv,1,1.0,7398.0,26.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.076220049522817,1.0
niah_multiquery_16384,full_kv,1,1.0,16056.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.6541353072971106,1.0
niah_multiquery_32768,full_kv,2,0.75,32223.5,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0534989428706467,1.0
niah_multiquery_4096,full_kv,1,1.0,3782.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0982900960370898,1.0
niah_multiquery_8192,full_kv,1,1.0,7479.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.605808635242283,1.0
niah_multivalue_16384,full_kv,1,1.0,16036.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.4324432061985135,1.0
niah_multivalue_32768,full_kv,2,1.0,32196.0,31.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.6487077181227505,1.0
niah_multivalue_4096,full_kv,1,1.0,3750.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2653220426291227,1.0
