task,base_task,requested_length,sample_id,method,executed_path,configured_sampled_quantile_sample_count,configured_index_bits_per_token,index_build_seconds,qk_prebuild_seconds,qk_prebuild_layers,qk_batched_allocation_layers,packed_qmse_sample_count,packed_qmse_value_sketch_rank,packed_qmse_value_sketch_bits,packed_qmse_value_sketch_executed,packed_qmse_value_sketch_tail_alpha,packed_qmse_debug_value_sketch_disabled,sampled_candidate_overflow_fraction,sampled_quantile_fallback,metric,score,prediction,answers,prompt_tokens,prefix_tokens,suffix_tokens,generated_tokens,configured_attention_fraction,configured_attention_tokens,configured_candidate_fraction,configured_projection_dim,configured_score_mode,attention_link_ratio,exact_qk_ratio,estimated_retained_mass,temporal_reuse_rate,gpu_kv_storage_ratio,scan_dimension_fraction,diagnostics_enabled,prefill_seconds,query_seconds,decode_seconds,online_seconds,total_seconds
niah_single_1_65536,niah_single_1,65536,niah_single_1_65536_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,9580255,"[""9580255""]",64885,64849,36,3,1.0,64849,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,64.66152281221002,0.3273672191426158,0.5463802199810743,0.8737474391236901,65.53527025133371
niah_single_1_65536,niah_single_1,65536,niah_single_1_65536_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.49876364320516586,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,9580255,"[""9580255""]",64885,64849,36,3,0.01973816095853444,1280,0.01973816095853444,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.019357101421146317,0.0,0.0,0.0,1.0,0.0,True,64.67084982339293,0.8095039911568165,1.142525278031826,1.9520292691886425,66.62287909258157
niah_single_1_65536,niah_single_1,65536,niah_single_1_65536_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,8315831.,"[""8315831""]",64888,64850,38,4,1.0,64850,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,64.94286377634853,0.31069856230169535,0.6927042966708541,1.0034028589725494,65.94626663532108
niah_single_1_65536,niah_single_1,65536,niah_single_1_65536_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.26975621469318867,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,8315831.,"[""8315831""]",64888,64850,38,4,0.019737856592135696,1280,0.019737856592135696,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.019060885325967607,0.0,0.0,0.0,1.0,0.0,True,65.15899081900716,0.5806925557553768,1.1179803889244795,1.6986729446798563,66.85766376368701
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,9089795.,"[""9089795""]",130894,130852,42,4,1.0,130852,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,222.3452166924253,0.6091967262327671,1.3043769635260105,1.9135736897587776,224.2587903821841
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.289961950853467,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,9089795.,"[""9089795""]",130894,130852,42,4,0.00978204383578394,1280,0.00978204383578394,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009406356642202176,0.0,0.0,0.0,1.0,0.0,True,222.43098303116858,0.8975017452612519,1.7783933784812689,2.675895123742521,225.1068781549111
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,4794319.,"[""4794319""]",130885,130849,36,4,1.0,130849,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,222.3197132088244,0.6018869690597057,1.3054944854229689,1.9073814544826746,224.22709466330707
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.2905527511611581,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,4794319.,"[""4794319""]",130885,130849,36,4,0.009782268110570199,1280,0.009782268110570199,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009450880539866601,0.0,0.0,0.0,1.0,0.0,True,222.43161265552044,0.8936066869646311,1.4987426195293665,2.3923493064939976,224.82396196201444
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,6183902.,"[""6183902""]",130888,130850,38,4,1.0,130850,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,222.397467777133,0.6057237116619945,1.3044704915955663,1.9101942032575607,224.30766198039055
niah_single_1_131072,niah_single_1,131072,niah_single_1_131072_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.2859118012711406,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,6183902.,"[""6183902""]",130888,130850,38,4,0.009782193351165456,1280,0.009782193351165456,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009429071880527086,0.0,0.0,0.0,1.0,0.0,True,222.450371096842,0.8890321515500546,1.4966700980439782,2.3857022495940328,224.83607334643602
