mode,correct,total,accuracy
layer_0_full,7,8,0.875
layer_11_full,7,8,0.875
layer_14_full,7,8,0.875
layer_15_full,7,8,0.875
layer_16_full,7,8,0.875
layer_18_full,7,8,0.875
layer_19_full,7,8,0.875
layer_1_full,7,8,0.875
layer_20_full,7,8,0.875
layer_22_full,7,8,0.875
layer_23_full,7,8,0.875
layer_26_full,7,8,0.875
layer_27_full,7,8,0.875
layer_3_full,7,8,0.875
layer_6_full,7,8,0.875
layer_7_full,7,8,0.875
qabs8cand5reuse,7,8,0.875
baseline,6,8,0.75
layer_10_full,6,8,0.75
layer_12_full,6,8,0.75
layer_13_full,6,8,0.75
layer_17_full,6,8,0.75
layer_21_full,6,8,0.75
layer_24_full,6,8,0.75
layer_25_full,6,8,0.75
layer_2_full,6,8,0.75
layer_4_full,6,8,0.75
layer_5_full,6,8,0.75
layer_8_full,6,8,0.75
layer_9_full,6,8,0.75
