task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
0,baseline,K000018-2P8LC9E,18,A,C,0,-2.4800562858581543,-3.1284937858581543,-0.5503688454627991,-3.2613062858581543
0,qabs8cand5reuse,K000018-2P8LC9E,18,A,C,0,-3.4801602363586426,-2.5192227363586426,-0.503597617149353,-3.8082852363586426
1,baseline,K001037-KS2WHVF,37,C,C,1,-3.060326099395752,-1.8493884801864624,-1.0056384801864624,-2.841576099395752
1,qabs8cand5reuse,K001037-KS2WHVF,37,C,C,1,-2.544052839279175,-1.9581153392791748,-1.8174903392791748,-3.364365339279175
2,baseline,K002006-2J6SA2E,6,B,B,1,-4.7931694984436035,-0.1525445282459259,-5.5900444984436035,-3.8244194984436035
2,qabs8cand5reuse,K002006-2J6SA2E,6,B,B,1,-4.361621379852295,-0.299121230840683,-4.705371379852295,-3.306933641433716
3,baseline,K003036-FLS4DUL,36,C,C,1,-2.5538265705108643,-5.131951332092285,-0.4288265109062195,-4.163201332092285
3,qabs8cand5reuse,K003036-FLS4DUL,36,C,C,1,-4.149129867553711,-4.211629867553711,-0.7975673675537109,-2.508504867553711
4,baseline,K004031-KHVV7J3,31,C,C,1,-3.6097137928009033,-2.9769012928009033,-0.5628387928009033,-3.7112762928009033
4,qabs8cand5reuse,K004031-KHVV7J3,31,C,C,1,-3.4149458408355713,-2.8133833408355713,-0.8993208408355713,-3.9149458408355713
5,baseline,K005061-QJJJNQA,61,C,C,1,-2.3528618812561035,-4.0481743812561035,-0.4778618812561035,-4.8997368812561035
5,qabs8cand5reuse,K005061-QJJJNQA,61,C,C,1,-2.80159068107605,-2.24690318107605,-1.6453406810760498,-3.18440318107605
6,baseline,K006030-Z2TJF4A,30,D,C,0,-2.212205171585083,-2.688767671585083,-0.962205171585083,-1.805955171585083
6,qabs8cand5reuse,K006030-Z2TJF4A,30,D,D,1,-2.3238658905029297,-2.1910533905029297,-2.0973033905029297,-1.7301157712936401
7,baseline,K007013-SM4PKZY,13,D,D,1,-4.575051307678223,-4.535988807678223,-4.614113807678223,-0.2781761884689331
7,qabs8cand5reuse,K007013-SM4PKZY,13,D,D,1,-3.497633457183838,-2.708570957183838,-2.732008457183838,-1.3335710763931274
8,baseline,K008035-RUMSERU,35,C,C,1,-3.4619693756103516,-5.047906875610352,-0.42290693521499634,-3.7510318756103516
8,qabs8cand5reuse,K008035-RUMSERU,35,C,C,1,-2.797699451446533,-4.305511951446533,-0.8523869514465332,-3.047699451446533
9,baseline,K009063-6ZRW3NB,63,C,C,1,-4.541294574737549,-5.900669574737549,-0.22098228335380554,-5.510044574737549
9,qabs8cand5reuse,K009063-6ZRW3NB,63,C,C,1,-3.488149404525757,-4.152211666107178,-0.7459618449211121,-3.472524404525757
10,baseline,K010037-R23G8YM,37,C,D,0,-4.2845330238342285,-3.7142202854156494,-3.4642202854156494,-0.3548453152179718
10,qabs8cand5reuse,K010037-R23G8YM,37,C,D,0,-4.147223949432373,-3.584723949432373,-3.272223949432373,-0.5456613302230835
11,baseline,K011051-8W3JEGZ,51,D,D,1,-4.120831489562988,-4.183331489562988,-1.2614564895629883,-1.1208314895629883
11,qabs8cand5reuse,K011051-8W3JEGZ,51,D,D,1,-2.97745418548584,-3.00870418548584,-1.7430791854858398,-1.7274541854858398
12,baseline,K012000-RWG4MET,0,D,A,0,-1.3850560188293457,-3.1272435188293457,-2.7288060188293457,-1.6819310188293457
12,qabs8cand5reuse,K012000-RWG4MET,0,D,D,1,-2.030153274536133,-3.217653274536133,-2.897340774536133,-1.2489031553268433
13,baseline,K013007-58DUDVZ,7,B,D,0,-3.606779098510742,-2.692716598510742,-2.380216598510742,-0.6380292177200317
13,qabs8cand5reuse,K013007-58DUDVZ,7,B,D,0,-3.5038506984710693,-2.6210381984710693,-2.2772881984710693,-1.0741631984710693
14,baseline,K014003-2U5GW5H,3,B,B,1,-3.5456554889678955,-0.5144054889678955,-3.0144054889678955,-4.561280250549316
14,qabs8cand5reuse,K014003-2U5GW5H,3,B,B,1,-3.072460651397705,-0.7912107706069946,-2.736523151397705,-3.845898151397705
15,baseline,K015057-EBMXUUG,57,A,A,1,-1.2126429080963135,-4.134517669677734,-2.0095179080963135,-4.486080169677734
15,qabs8cand5reuse,K015057-EBMXUUG,57,A,C,0,-4.073878288269043,-3.191066026687622,-1.323878526687622,-2.784816026687622
16,baseline,K016004-F4ZGTMV,4,C,B,0,-3.7562031745910645,-0.9124531745910645,-1.1780781745910645,-5.0530781745910645
16,qabs8cand5reuse,K016004-F4ZGTMV,4,C,B,0,-3.88944149017334,-0.8660039901733398,-1.3972539901733398,-4.64725399017334
17,baseline,K017052-WJK6F93,52,C,B,0,-1.673850178718567,-0.7832251787185669,-2.7754125595092773,-4.931662559509277
17,qabs8cand5reuse,K017052-WJK6F93,52,C,A,0,-1.0707201957702637,-1.9691576957702637,-3.0785326957702637,-4.648845195770264
18,baseline,K018028-3CBPUBK,28,B,B,1,-1.7176920175552368,-1.3817545175552368,-2.4520668983459473,-2.7098793983459473
18,qabs8cand5reuse,K018028-3CBPUBK,28,B,A,0,-1.420324444770813,-1.451574444770813,-2.3031368255615234,-2.6234493255615234
19,baseline,K019044-QWFG8W9,44,A,C,0,-3.353891372680664,-2.244516372680664,-1.0570164918899536,-2.510141372680664
19,qabs8cand5reuse,K019044-QWFG8W9,44,A,C,0,-3.49875545501709,-2.75656795501709,-1.8893805742263794,-2.30344295501709
20,baseline,K020030-7SDZV5G,30,B,D,0,-3.888594150543213,-2.646406650543213,-2.521406650543213,-0.7010942101478577
20,qabs8cand5reuse,K020030-7SDZV5G,30,B,D,0,-3.4425439834594727,-2.5831689834594727,-2.4347314834594727,-0.9503565430641174
21,baseline,K021063-VDNFS8A,63,A,A,1,-0.765697181224823,-5.211009502410889,-1.6719472408294678,-4.054759502410889
21,qabs8cand5reuse,K021063-VDNFS8A,63,A,C,0,-1.8648687601089478,-4.052368640899658,-1.2711187601089478,-3.810181140899658
22,baseline,K022001-6D2XH8W,1,B,B,1,-1.736393690109253,-1.455143690109253,-1.908268690109253,-3.478581190109253
22,qabs8cand5reuse,K022001-6D2XH8W,1,B,B,1,-2.3253822326660156,-1.3644447326660156,-2.6300697326660156,-3.0519447326660156
23,baseline,K023059-ZF9Y7Z5,59,B,B,1,-3.8630223274230957,-1.3083348274230957,-1.5270848274230957,-2.6911473274230957
23,qabs8cand5reuse,K023059-ZF9Y7Z5,59,B,C,0,-3.1061925888061523,-2.6530675888061523,-1.207755208015442,-3.1140050888061523
24,baseline,K024042-Y6W7JQL,42,A,C,0,-2.7657666206359863,-3.5392041206359863,-0.9454540014266968,-2.1954541206359863
24,qabs8cand5reuse,K024042-Y6W7JQL,42,A,C,0,-2.17523193359375,-2.79241943359375,-1.81585693359375,-2.69866943359375
25,baseline,K025040-C7ZWA7B,40,D,C,0,-2.9139211177825928,-2.9451711177825928,-0.882671058177948,-2.2186086177825928
25,qabs8cand5reuse,K025040-C7ZWA7B,40,D,C,0,-2.723295211791992,-2.465482711791992,-1.4342325925827026,-2.629545211791992
26,baseline,K026039-PZEYC6V,39,B,C,0,-2.8225185871124268,-2.7522060871124268,-1.0881435871124268,-2.8147060871124268
26,qabs8cand5reuse,K026039-PZEYC6V,39,B,C,0,-2.340452194213867,-2.473264694213867,-1.7701395750045776,-3.231077194213867
27,baseline,K027016-JFBU3H3,16,D,D,1,-3.8139877319335938,-4.860862731933594,-1.4858626127243042,-0.7202376127243042
27,qabs8cand5reuse,K027016-JFBU3H3,16,D,C,0,-4.553466320037842,-4.928466320037842,-0.24096617102622986,-3.1472160816192627
28,baseline,K028037-4ZSB2C8,37,A,D,0,-1.9974406957626343,-2.153690814971924,-1.9818156957626343,-1.4036906957626343
28,qabs8cand5reuse,K028037-4ZSB2C8,37,A,B,0,-1.9218207597732544,-1.6718207597732544,-1.9843207597732544,-1.9218207597732544
29,baseline,K029041-TJRHMQY,41,B,D,0,-3.081266403198242,-3.050016403198242,-2.026578903198242,-0.932828962802887
29,qabs8cand5reuse,K029041-TJRHMQY,41,B,C,0,-1.6749002933502197,-2.8389627933502197,-1.4092752933502197,-2.9795877933502197
30,baseline,K030037-VEPXT8W,37,D,C,0,-2.895425796508789,-3.403238296508789,-0.5829257965087891,-3.621988296508789
30,qabs8cand5reuse,K030037-VEPXT8W,37,D,C,0,-2.4022393226623535,-2.5897393226623535,-1.2069268226623535,-3.7303643226623535
31,baseline,K031044-NSHSMR3,44,C,C,1,-3.8213114738464355,-3.2822489738464355,-0.9853740334510803,-1.7822489738464355
31,qabs8cand5reuse,K031044-NSHSMR3,44,C,C,1,-2.9603776931762695,-3.0306901931762695,-1.304127812385559,-2.1635026931762695
