task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
0,baseline,K000018-2P8LC9E,18,A,C,0,-2.4800562858581543,-3.1284937858581543,-0.5503688454627991,-3.2613062858581543
0,qabs8cand5reuseblk8,K000018-2P8LC9E,18,A,C,0,-3.591549873352051,-2.364987373352051,-0.4274873733520508,-3.708737373352051
1,baseline,K001037-KS2WHVF,37,C,C,1,-3.060326099395752,-1.8493884801864624,-1.0056384801864624,-2.841576099395752
1,qabs8cand5reuseblk8,K001037-KS2WHVF,37,C,D,0,-2.4325408935546875,-2.1200408935546875,-2.1981658935546875,-1.940353512763977
2,baseline,K002006-2J6SA2E,6,B,B,1,-4.7931694984436035,-0.1525445282459259,-5.5900444984436035,-3.8244194984436035
2,qabs8cand5reuseblk8,K002006-2J6SA2E,6,B,B,1,-3.7626893520355225,-0.5205019116401672,-4.356439590454102,-2.0830018520355225
3,baseline,K003036-FLS4DUL,36,C,C,1,-2.5538265705108643,-5.131951332092285,-0.4288265109062195,-4.163201332092285
3,qabs8cand5reuseblk8,K003036-FLS4DUL,36,C,C,1,-1.8946397304534912,-4.42588996887207,-1.3633897304534912,-3.785264730453491
4,baseline,K004031-KHVV7J3,31,C,C,1,-3.6097137928009033,-2.9769012928009033,-0.5628387928009033,-3.7112762928009033
4,qabs8cand5reuseblk8,K004031-KHVV7J3,31,C,C,1,-3.657254695892334,-3.165067195892334,-0.6260047554969788,-3.086942195892334
5,baseline,K005061-QJJJNQA,61,C,C,1,-2.3528618812561035,-4.0481743812561035,-0.4778618812561035,-4.8997368812561035
5,qabs8cand5reuseblk8,K005061-QJJJNQA,61,C,C,1,-2.1772866249084473,-2.6694741249084473,-0.9429117441177368,-3.7007241249084473
6,baseline,K006030-Z2TJF4A,30,D,C,0,-2.212205171585083,-2.688767671585083,-0.962205171585083,-1.805955171585083
6,qabs8cand5reuseblk8,K006030-Z2TJF4A,30,D,D,1,-2.3894200325012207,-2.0534825325012207,-1.6628576517105103,-1.6159826517105103
7,baseline,K007013-SM4PKZY,13,D,D,1,-4.575051307678223,-4.535988807678223,-4.614113807678223,-0.2781761884689331
7,qabs8cand5reuseblk8,K007013-SM4PKZY,13,D,B,0,-3.1771035194396973,-1.5911659002304077,-2.6146035194396973,-2.5208535194396973
8,baseline,K008035-RUMSERU,35,C,C,1,-3.4619693756103516,-5.047906875610352,-0.42290693521499634,-3.7510318756103516
8,qabs8cand5reuseblk8,K008035-RUMSERU,35,C,C,1,-2.965445041656494,-4.801382541656494,-0.7310701608657837,-2.856070041656494
9,baseline,K009063-6ZRW3NB,63,C,C,1,-4.541294574737549,-5.900669574737549,-0.22098228335380554,-5.510044574737549
9,qabs8cand5reuseblk8,K009063-6ZRW3NB,63,C,C,1,-5.066821575164795,-5.887134075164795,-0.19963403046131134,-5.613696575164795
10,baseline,K010037-R23G8YM,37,C,D,0,-4.2845330238342285,-3.7142202854156494,-3.4642202854156494,-0.3548453152179718
10,qabs8cand5reuseblk8,K010037-R23G8YM,37,C,D,0,-4.454164505004883,-3.922914505004883,-4.399477005004883,-0.39166459441185
11,baseline,K011051-8W3JEGZ,51,D,D,1,-4.120831489562988,-4.183331489562988,-1.2614564895629883,-1.1208314895629883
11,qabs8cand5reuseblk8,K011051-8W3JEGZ,51,D,C,0,-4.1197590827941895,-4.0103840827941895,-1.033821702003479,-1.705696702003479
12,baseline,K012000-RWG4MET,0,D,A,0,-1.3850560188293457,-3.1272435188293457,-2.7288060188293457,-1.6819310188293457
12,qabs8cand5reuseblk8,K012000-RWG4MET,0,D,D,1,-1.5927296876907349,-3.5067920684814453,-2.8349170684814453,-1.1396046876907349
