task_id,variant,mode,correct,mask,span,metric,hit_count,query_count,coverage
0,compact_kv,qabs8cand5reuse,1,current,key,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,current,key,any,4607,11648,0.39551854395604397
0,compact_kv,qabs8cand5reuse,1,current,record,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,current,record,any,6255,11648,0.5370020604395604
0,compact_kv,qabs8cand5reuse,1,final,key,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,final,key,any,3911,11648,0.3357657967032967
0,compact_kv,qabs8cand5reuse,1,final,record,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,final,record,any,5685,11648,0.4880666208791209
0,compact_kv,qabs8cand5reuse,1,union,key,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,union,key,any,6294,11648,0.5403502747252747
0,compact_kv,qabs8cand5reuse,1,union,record,all,0,11648,0.0
0,compact_kv,qabs8cand5reuse,1,union,record,any,7728,11648,0.6634615384615384
1,compact_kv,qabs8cand5reuse,1,current,key,all,0,10752,0.0
1,compact_kv,qabs8cand5reuse,1,current,key,any,8843,10752,0.8224516369047619
1,compact_kv,qabs8cand5reuse,1,current,record,all,0,10752,0.0
1,compact_kv,qabs8cand5reuse,1,current,record,any,9022,10752,0.8390997023809523
1,compact_kv,qabs8cand5reuse,1,final,key,all,219,10752,0.020368303571428572
1,compact_kv,qabs8cand5reuse,1,final,key,any,10752,10752,1.0
1,compact_kv,qabs8cand5reuse,1,final,record,all,29,10752,0.002697172619047619
1,compact_kv,qabs8cand5reuse,1,final,record,any,10752,10752,1.0
1,compact_kv,qabs8cand5reuse,1,union,key,all,474,10752,0.04408482142857143
1,compact_kv,qabs8cand5reuse,1,union,key,any,10697,10752,0.9948846726190477
1,compact_kv,qabs8cand5reuse,1,union,record,all,135,10752,0.012555803571428572
1,compact_kv,qabs8cand5reuse,1,union,record,any,10705,10752,0.9956287202380952
2,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,current,key,any,2715,11200,0.24241071428571428
2,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,current,record,any,4983,11200,0.44491071428571427
2,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,final,key,any,1940,11200,0.1732142857142857
2,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,final,record,any,4204,11200,0.37535714285714283
2,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,union,key,any,4079,11200,0.3641964285714286
2,compact_kv,qabs8cand5reuse,1,union,record,all,0,11200,0.0
2,compact_kv,qabs8cand5reuse,1,union,record,any,6721,11200,0.6000892857142858
3,compact_kv,qabs8cand5reuse,0,current,key,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,current,key,any,1806,10752,0.16796875
3,compact_kv,qabs8cand5reuse,0,current,record,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,current,record,any,2550,10752,0.23716517857142858
3,compact_kv,qabs8cand5reuse,0,final,key,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,final,key,any,1167,10752,0.10853794642857142
3,compact_kv,qabs8cand5reuse,0,final,record,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,final,record,any,1756,10752,0.16331845238095238
3,compact_kv,qabs8cand5reuse,0,union,key,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,union,key,any,2891,10752,0.2688802083333333
3,compact_kv,qabs8cand5reuse,0,union,record,all,0,10752,0.0
3,compact_kv,qabs8cand5reuse,0,union,record,any,3988,10752,0.3709077380952381
4,compact_kv,qabs8cand5reuse,1,current,key,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,current,key,any,1867,10752,0.17364211309523808
4,compact_kv,qabs8cand5reuse,1,current,record,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,current,record,any,3172,10752,0.29501488095238093
4,compact_kv,qabs8cand5reuse,1,final,key,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,final,key,any,1370,10752,0.12741815476190477
4,compact_kv,qabs8cand5reuse,1,final,record,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,final,record,any,2470,10752,0.22972470238095238
4,compact_kv,qabs8cand5reuse,1,union,key,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,union,key,any,3096,10752,0.28794642857142855
4,compact_kv,qabs8cand5reuse,1,union,record,all,0,10752,0.0
4,compact_kv,qabs8cand5reuse,1,union,record,any,4797,10752,0.44614955357142855
5,compact_kv,qabs8cand5reuse,0,current,key,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,current,key,any,1690,11200,0.15089285714285713
5,compact_kv,qabs8cand5reuse,0,current,record,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,current,record,any,2217,11200,0.19794642857142858
5,compact_kv,qabs8cand5reuse,0,final,key,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,final,key,any,1008,11200,0.09
5,compact_kv,qabs8cand5reuse,0,final,record,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,final,record,any,1305,11200,0.11651785714285715
5,compact_kv,qabs8cand5reuse,0,union,key,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,union,key,any,2770,11200,0.24732142857142858
5,compact_kv,qabs8cand5reuse,0,union,record,all,0,11200,0.0
5,compact_kv,qabs8cand5reuse,0,union,record,any,3447,11200,0.30776785714285715
6,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,current,key,any,2360,11200,0.21071428571428572
6,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,current,record,any,3175,11200,0.28348214285714285
6,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,final,key,any,1572,11200,0.14035714285714285
6,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,final,record,any,2204,11200,0.19678571428571429
6,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,union,key,any,3613,11200,0.3225892857142857
6,compact_kv,qabs8cand5reuse,1,union,record,all,0,11200,0.0
6,compact_kv,qabs8cand5reuse,1,union,record,any,4636,11200,0.4139285714285714
7,compact_kv,qabs8cand5reuse,0,current,key,all,0,11648,0.0
7,compact_kv,qabs8cand5reuse,0,current,key,any,3310,11648,0.28416895604395603
7,compact_kv,qabs8cand5reuse,0,current,record,all,0,11648,0.0
7,compact_kv,qabs8cand5reuse,0,current,record,any,4238,11648,0.3638392857142857
7,compact_kv,qabs8cand5reuse,0,final,key,all,1,11648,8.585164835164836e-05
7,compact_kv,qabs8cand5reuse,0,final,key,any,5393,11648,0.46299793956043955
7,compact_kv,qabs8cand5reuse,0,final,record,all,1,11648,8.585164835164836e-05
7,compact_kv,qabs8cand5reuse,0,final,record,any,6986,11648,0.5997596153846154
7,compact_kv,qabs8cand5reuse,0,union,key,all,1,11648,8.585164835164836e-05
7,compact_kv,qabs8cand5reuse,0,union,key,any,7028,11648,0.6033653846153846
7,compact_kv,qabs8cand5reuse,0,union,record,all,1,11648,8.585164835164836e-05
7,compact_kv,qabs8cand5reuse,0,union,record,any,8423,11648,0.7231284340659341
8,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,current,key,any,2117,11200,0.18901785714285715
8,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,current,record,any,2860,11200,0.25535714285714284
8,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,final,key,any,1301,11200,0.11616071428571428
8,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,final,record,any,1766,11200,0.15767857142857142
8,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,union,key,any,3291,11200,0.2938392857142857
8,compact_kv,qabs8cand5reuse,1,union,record,all,0,11200,0.0
8,compact_kv,qabs8cand5reuse,1,union,record,any,4246,11200,0.37910714285714286
9,compact_kv,qabs8cand5reuse,0,current,key,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,current,key,any,2224,11648,0.19093406593406592
9,compact_kv,qabs8cand5reuse,0,current,record,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,current,record,any,2912,11648,0.25
9,compact_kv,qabs8cand5reuse,0,final,key,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,final,key,any,1291,11648,0.11083447802197802
9,compact_kv,qabs8cand5reuse,0,final,record,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,final,record,any,1705,11648,0.14637706043956045
9,compact_kv,qabs8cand5reuse,0,union,key,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,union,key,any,3391,11648,0.29112293956043955
9,compact_kv,qabs8cand5reuse,0,union,record,all,0,11648,0.0
9,compact_kv,qabs8cand5reuse,0,union,record,any,4270,11648,0.36658653846153844
10,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,current,key,any,2578,11200,0.23017857142857143
10,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,current,record,any,3105,11200,0.27723214285714287
10,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,final,key,any,1872,11200,0.16714285714285715
10,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,final,record,any,2280,11200,0.20357142857142857
10,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,union,key,any,4054,11200,0.36196428571428574
10,compact_kv,qabs8cand5reuse,1,union,record,all,0,11200,0.0
10,compact_kv,qabs8cand5reuse,1,union,record,any,4772,11200,0.42607142857142855
11,compact_kv,qabs8cand5reuse,1,current,key,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,current,key,any,4474,11648,0.38410027472527475
11,compact_kv,qabs8cand5reuse,1,current,record,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,current,record,any,6222,11648,0.5341689560439561
11,compact_kv,qabs8cand5reuse,1,final,key,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,final,key,any,3838,11648,0.32949862637362637
11,compact_kv,qabs8cand5reuse,1,final,record,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,final,record,any,5516,11648,0.4735576923076923
11,compact_kv,qabs8cand5reuse,1,union,key,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,union,key,any,6240,11648,0.5357142857142857
11,compact_kv,qabs8cand5reuse,1,union,record,all,0,11648,0.0
11,compact_kv,qabs8cand5reuse,1,union,record,any,7680,11648,0.6593406593406593
12,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,current,key,any,3210,11200,0.28660714285714284
12,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,current,record,any,4242,11200,0.37875
12,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,final,key,any,2500,11200,0.22321428571428573
12,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,final,record,any,3449,11200,0.30794642857142857
12,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,union,key,any,4780,11200,0.42678571428571427
12,compact_kv,qabs8cand5reuse,1,union,record,all,0,11200,0.0
12,compact_kv,qabs8cand5reuse,1,union,record,any,5984,11200,0.5342857142857143
13,compact_kv,qabs8cand5reuse,0,current,key,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,current,key,any,2119,11200,0.18919642857142857
13,compact_kv,qabs8cand5reuse,0,current,record,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,current,record,any,2632,11200,0.235
13,compact_kv,qabs8cand5reuse,0,final,key,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,final,key,any,1457,11200,0.1300892857142857
13,compact_kv,qabs8cand5reuse,0,final,record,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,final,record,any,1763,11200,0.1574107142857143
13,compact_kv,qabs8cand5reuse,0,union,key,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,union,key,any,3387,11200,0.3024107142857143
13,compact_kv,qabs8cand5reuse,0,union,record,all,0,11200,0.0
13,compact_kv,qabs8cand5reuse,0,union,record,any,4088,11200,0.365
14,compact_kv,qabs8cand5reuse,1,current,key,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,current,key,any,2564,11648,0.22012362637362637
14,compact_kv,qabs8cand5reuse,1,current,record,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,current,record,any,3256,11648,0.27953296703296704
14,compact_kv,qabs8cand5reuse,1,final,key,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,final,key,any,1678,11648,0.14405906593406592
14,compact_kv,qabs8cand5reuse,1,final,record,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,final,record,any,2168,11648,0.18612637362637363
14,compact_kv,qabs8cand5reuse,1,union,key,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,union,key,any,4026,11648,0.34563873626373626
14,compact_kv,qabs8cand5reuse,1,union,record,all,0,11648,0.0
14,compact_kv,qabs8cand5reuse,1,union,record,any,4953,11648,0.4252232142857143
15,compact_kv,qabs8cand5reuse,1,current,key,all,0,11200,0.0
15,compact_kv,qabs8cand5reuse,1,current,key,any,2015,11200,0.17991071428571428
15,compact_kv,qabs8cand5reuse,1,current,record,all,0,11200,0.0
15,compact_kv,qabs8cand5reuse,1,current,record,any,3469,11200,0.30973214285714284
15,compact_kv,qabs8cand5reuse,1,final,key,all,0,11200,0.0
15,compact_kv,qabs8cand5reuse,1,final,key,any,1342,11200,0.11982142857142856
15,compact_kv,qabs8cand5reuse,1,final,record,all,0,11200,0.0
15,compact_kv,qabs8cand5reuse,1,final,record,any,2593,11200,0.23151785714285714
15,compact_kv,qabs8cand5reuse,1,union,key,all,0,11200,0.0
