variant,task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
compact_kv,0,baseline,K000001-5SZ244Y,1,B,B,1,-2.1120553016662598,-1.2683051824569702,-2.4870553016662598,-3.9636178016662598
compact_kv,0,qabs8cand5reuse,K000001-5SZ244Y,1,B,B,1,-2.930678367614746,-0.9775533676147461,-1.821303367614746,-4.024428367614746
compact_kv,1,baseline,K001000-NBP42RT,0,A,A,1,-1.292926549911499,-4.433551788330078,-3.652301549911499,-3.972614049911499
compact_kv,1,qabs8cand5reuse,K001000-NBP42RT,0,A,A,1,-0.9812418222427368,-3.9187417030334473,-3.0906167030334473,-2.4343667030334473
compact_kv,2,baseline,K002002-DR2DN2C,2,C,C,1,-4.308850288391113,-4.355725288391113,-0.48072510957717896,-3.215100049972534
compact_kv,2,qabs8cand5reuse,K002002-DR2DN2C,2,C,C,1,-1.9439878463745117,-3.4049253463745117,-1.5377378463745117,-3.0689878463745117
compact_kv,3,baseline,K003005-BJHSYEP,5,D,A,0,-1.4905279874801636,-2.451465606689453,-3.092090606689453,-3.232715606689453
compact_kv,3,qabs8cand5reuse,K003005-BJHSYEP,5,D,A,0,-1.204351782798767,-2.1262269020080566,-2.4699769020080566,-3.1340394020080566
compact_kv,4,baseline,K004007-TQP5JHS,7,D,D,1,-4.31425142288208,-4.55643892288208,-3.05643892288208,-0.4626888036727905
compact_kv,4,qabs8cand5reuse,K004007-TQP5JHS,7,D,D,1,-3.1109752655029297,-3.5953502655029297,-2.7203502655029297,-0.5641002655029297
compact_kv,5,baseline,K005008-8SAQB73,8,C,C,1,-2.4037420749664307,-3.1068670749664307,-2.0912420749664307,-4.419366836547852
compact_kv,5,qabs8cand5reuse,K005008-8SAQB73,8,C,B,0,-2.0590243339538574,-1.434024453163147,-2.2777743339538574,-3.1840243339538574
compact_kv,6,baseline,K006014-P5JCY7U,14,D,D,1,-4.204648017883301,-4.845273017883301,-3.89996075630188,-0.4937106668949127
compact_kv,6,qabs8cand5reuse,K006014-P5JCY7U,14,D,D,1,-2.5684823989868164,-2.6778573989868164,-1.9122323989868164,-1.0997323989868164
compact_kv,7,baseline,K007015-UBJYRJ8,15,C,C,1,-4.279614448547363,-2.9593019485473633,-0.9280518293380737,-2.9124269485473633
compact_kv,7,qabs8cand5reuse,K007015-UBJYRJ8,15,C,D,0,-2.7261784076690674,-2.2418034076690674,-2.7574284076690674,-1.7105534076690674
compact_kv,8,baseline,K008012-XF49NRF,12,A,A,1,-1.5687506198883057,-4.545312881469727,-2.6156256198883057,-3.5921881198883057
compact_kv,8,qabs8cand5reuse,K008012-XF49NRF,12,A,A,1,-2.1323776245117188,-2.8980026245117188,-2.3198776245117188,-2.8120651245117188
compact_kv,9,baseline,K009012-765WL6Z,12,C,C,1,-3.3754427433013916,-4.2895050048828125,-0.7816927433013916,-4.2582550048828125
compact_kv,9,qabs8cand5reuse,K009012-765WL6Z,12,C,D,0,-1.6196223497390747,-3.549309730529785,-3.064934730529785,-1.1196223497390747
compact_kv,10,baseline,K010005-96MBTF4,5,A,A,1,-1.8037028312683105,-4.2724528312683105,-2.4130778312683105,-4.1318278312683105
compact_kv,10,qabs8cand5reuse,K010005-96MBTF4,5,A,A,1,-1.7302277088165283,-3.2458527088165283,-2.9177277088165283,-2.4489777088165283
compact_kv,11,baseline,K011001-F36U8Y8,1,B,B,1,-1.662325143814087,-1.193575143814087,-3.724825143814087,-4.740449905395508
compact_kv,11,qabs8cand5reuse,K011001-F36U8Y8,1,B,B,1,-2.036632537841797,-1.0366324186325073,-3.356945037841797,-4.075695037841797
compact_kv,12,baseline,K012002-H2EYS26,2,C,C,1,-3.744757652282715,-3.815070152282715,-2.041632652282715,-2.072882652282715
compact_kv,12,qabs8cand5reuse,K012002-H2EYS26,2,C,C,1,-3.1883978843688965,-3.4071478843688965,-1.555585265159607,-1.649335265159607
compact_kv,13,baseline,K013010-NYF8AQV,10,C,C,1,-3.537766456604004,-3.397141456604004,-0.44401639699935913,-4.201828956604004
