variant,mask,span,metric,layer,head,hit_count,query_count,coverage
compact_kv,final,key,any,3,10,233,402,0.5796019900497512
compact_kv,final,key,any,21,8,220,402,0.5472636815920398
compact_kv,final,key,any,6,7,218,402,0.5422885572139303
compact_kv,final,key,any,16,14,214,402,0.5323383084577115
compact_kv,final,key,any,11,13,207,402,0.5149253731343284
compact_kv,final,key,any,6,11,207,402,0.5149253731343284
compact_kv,final,key,any,1,15,207,402,0.5149253731343284
compact_kv,final,key,any,16,15,206,402,0.5124378109452736
compact_kv,final,key,any,20,3,198,402,0.4925373134328358
compact_kv,final,key,any,17,11,198,402,0.4925373134328358
compact_kv,final,key,all,8,7,12,402,0.029850746268656716
compact_kv,final,key,all,18,4,11,402,0.02736318407960199
compact_kv,final,key,all,18,5,10,402,0.024875621890547265
compact_kv,final,key,all,19,5,8,402,0.01990049751243781
compact_kv,final,key,all,18,11,8,402,0.01990049751243781
compact_kv,final,key,all,21,1,7,402,0.017412935323383085
compact_kv,final,key,all,19,4,7,402,0.017412935323383085
compact_kv,final,key,all,23,15,6,402,0.014925373134328358
compact_kv,final,key,all,23,0,6,402,0.014925373134328358
compact_kv,final,key,all,20,3,6,402,0.014925373134328358
compact_kv,final,label,any,12,0,198,402,0.4925373134328358
compact_kv,final,label,any,9,5,191,402,0.47512437810945274
compact_kv,final,label,any,12,14,177,402,0.44029850746268656
compact_kv,final,label,any,14,6,167,402,0.4154228855721393
compact_kv,final,label,any,20,12,157,402,0.39054726368159204
compact_kv,final,label,any,14,7,145,402,0.36069651741293535
compact_kv,final,label,any,17,0,140,402,0.3482587064676617
compact_kv,final,label,any,24,15,138,402,0.34328358208955223
compact_kv,final,label,any,17,1,137,402,0.3407960199004975
compact_kv,final,label,any,24,14,131,402,0.32587064676616917
compact_kv,final,label,all,12,0,198,402,0.4925373134328358
compact_kv,final,label,all,9,5,191,402,0.47512437810945274
compact_kv,final,label,all,12,14,177,402,0.44029850746268656
compact_kv,final,label,all,14,6,167,402,0.4154228855721393
compact_kv,final,label,all,20,12,157,402,0.39054726368159204
compact_kv,final,label,all,14,7,145,402,0.36069651741293535
compact_kv,final,label,all,17,0,140,402,0.3482587064676617
compact_kv,final,label,all,24,15,138,402,0.34328358208955223
compact_kv,final,label,all,17,1,137,402,0.3407960199004975
compact_kv,final,label,all,24,14,131,402,0.32587064676616917
json_kv,final,key,any,1,15,375,473,0.7928118393234672
json_kv,final,key,any,16,1,271,473,0.572938689217759
json_kv,final,key,any,20,3,248,473,0.5243128964059197
json_kv,final,key,any,13,9,247,473,0.5221987315010571
json_kv,final,key,any,16,14,246,473,0.5200845665961945
json_kv,final,key,any,6,6,245,473,0.5179704016913319
json_kv,final,key,any,6,7,244,473,0.5158562367864693
json_kv,final,key,any,13,8,243,473,0.5137420718816068
json_kv,final,key,any,16,15,236,473,0.4989429175475687
json_kv,final,key,any,24,12,235,473,0.49682875264270615
json_kv,final,key,all,27,15,0,473,0.0
json_kv,final,key,all,27,14,0,473,0.0
json_kv,final,key,all,27,13,0,473,0.0
json_kv,final,key,all,27,12,0,473,0.0
json_kv,final,key,all,27,11,0,473,0.0
json_kv,final,key,all,27,10,0,473,0.0
json_kv,final,key,all,27,9,0,473,0.0
json_kv,final,key,all,27,8,0,473,0.0
json_kv,final,key,all,27,7,0,473,0.0
json_kv,final,key,all,27,6,0,473,0.0
json_kv,final,label,any,20,12,236,473,0.4989429175475687
json_kv,final,label,any,22,13,229,473,0.48414376321353064
json_kv,final,label,any,21,0,204,473,0.4312896405919662
json_kv,final,label,any,21,13,193,473,0.4080338266384778
json_kv,final,label,any,13,7,193,473,0.4080338266384778
json_kv,final,label,any,9,2,190,473,0.40169133192389006
json_kv,final,label,any,14,6,189,473,0.39957716701902746
json_kv,final,label,any,24,15,188,473,0.3974630021141649
json_kv,final,label,any,20,6,184,473,0.3890063424947146
json_kv,final,label,any,15,9,183,473,0.386892177589852
json_kv,final,label,all,20,12,236,473,0.4989429175475687
json_kv,final,label,all,22,13,229,473,0.48414376321353064
json_kv,final,label,all,21,0,204,473,0.4312896405919662
json_kv,final,label,all,21,13,193,473,0.4080338266384778
json_kv,final,label,all,13,7,193,473,0.4080338266384778
json_kv,final,label,all,9,2,190,473,0.40169133192389006
json_kv,final,label,all,14,6,189,473,0.39957716701902746
json_kv,final,label,all,24,15,188,473,0.3974630021141649
json_kv,final,label,all,20,6,184,473,0.3890063424947146
json_kv,final,label,all,15,9,183,473,0.386892177589852
needle_sentence,final,key,any,21,8,283,450,0.6288888888888889
needle_sentence,final,key,any,24,5,278,450,0.6177777777777778
needle_sentence,final,key,any,6,7,273,450,0.6066666666666667
needle_sentence,final,key,any,3,10,272,450,0.6044444444444445
needle_sentence,final,key,any,20,3,267,450,0.5933333333333334
needle_sentence,final,key,any,24,12,266,450,0.5911111111111111
needle_sentence,final,key,any,16,13,254,450,0.5644444444444444
needle_sentence,final,key,any,17,11,252,450,0.56
